,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
151,603733.SH,20180420,16.31,19.57,16.31,19.57,13.59,5.98,44.0,635.5,1243.348
150,603733.SH,20180423,21.53,21.53,21.53,21.53,19.57,1.96,10.02,367.78,791.83
149,603733.SH,20180424,23.68,23.68,23.68,23.68,21.53,2.15,9.99,752.46,1781.825
148,603733.SH,20180425,26.05,26.05,26.05,26.05,23.68,2.37,10.01,1012.23,2636.859
147,603733.SH,20180426,28.66,28.66,28.66,28.66,26.05,2.61,10.02,4845.61,13887.518
146,603733.SH,20180427,31.53,31.53,31.53,31.53,28.66,2.87,10.01,26329.08,83015.589
145,603733.SH,20180502,32.0,33.0,29.7,30.39,31.53,-1.14,-3.62,365689.88,1140540.69
144,603733.SH,20180503,30.39,33.43,30.39,33.43,30.39,3.04,10.0,303150.37,973442.439
143,603733.SH,20180504,33.43,33.43,30.09,30.09,33.43,-3.34,-9.99,324464.36,1013226.455
142,603733.SH,20180507,28.83,31.0,28.83,30.19,30.09,0.1,0.33,215466.91,648975.586
141,603733.SH,20180508,29.8,30.89,29.3,29.92,30.19,-0.27,-0.89,192954.67,579309.423
140,603733.SH,20180509,29.85,32.26,29.31,31.21,29.92,1.29,4.31,277595.06,853944.09
139,603733.SH,20180510,30.61,30.9,29.6,30.47,31.21,-0.74,-2.37,205410.54,622950.352
138,603733.SH,20180511,30.68,33.33,30.5,31.06,30.47,0.59,1.94,294128.57,936604.863
137,603733.SH,20180514,31.49,32.82,30.91,32.44,31.06,1.38,4.44,297435.53,951465.788
136,603733.SH,20180515,32.02,34.98,31.71,34.47,32.44,2.03,6.26,326355.1,1095160.54
135,603733.SH,20180516,33.52,33.63,31.65,32.56,34.47,-1.91,-5.54,250357.68,817317.858
134,603733.SH,20180517,32.03,33.6,31.71,32.77,32.56,0.21,0.65,200141.97,657407.191
133,603733.SH,20180518,32.22,36.05,32.0,36.05,32.77,3.28,10.01,331098.15,1165874.844
132,603733.SH,20180521,36.05,39.66,35.6,38.7,36.05,2.65,7.35,428526.88,1630333.723
131,603733.SH,20180522,37.0,39.84,36.2,39.09,38.7,0.39,1.01,358173.95,1358815.288
130,603733.SH,20180523,38.06,39.15,36.73,37.0,39.09,-2.09,-5.35,233199.75,883143.159
129,603733.SH,20180524,37.58,37.86,35.33,36.69,37.0,-0.31,-0.84,173673.55,633363.055
128,603733.SH,20180525,36.0,36.88,35.29,35.41,36.69,-1.28,-3.49,138664.66,499702.609
127,603733.SH,20180528,34.71,34.99,31.87,31.87,35.41,-3.54,-10.0,169348.21,560428.572
126,603733.SH,20180529,31.31,32.78,31.31,32.56,31.87,0.69,2.17,119549.39,385616.713
125,603733.SH,20180530,31.68,31.68,29.3,29.74,32.56,-2.82,-8.66,135631.49,412503.009
124,603733.SH,20180531,30.39,31.38,30.09,31.16,29.74,1.42,4.77,115377.48,356116.492
123,603733.SH,20180601,30.7,31.82,29.5,31.75,31.16,0.59,1.89,127145.63,393315.38
122,603733.SH,20180604,31.72,32.95,31.32,32.77,31.75,1.02,3.21,143905.34,465032.899
121,603733.SH,20180605,32.95,33.31,32.01,33.15,32.77,0.38,1.16,135188.83,441913.279
120,603733.SH,20180606,32.78,33.36,32.33,32.7,33.15,-0.45,-1.36,103560.13,339313.294
