,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
1094,601101.SH,20140102,7.17,7.18,7.02,7.08,7.21,-0.13,-1.8,66307.17,46957.99
1093,601101.SH,20140103,7.07,7.15,6.98,7.0,7.08,-0.08,-1.13,48005.84,33697.787
1092,601101.SH,20140106,6.97,6.98,6.61,6.62,7.0,-0.38,-5.43,78412.46,52642.322
1091,601101.SH,20140107,6.63,6.63,6.49,6.54,6.62,-0.08,-1.21,53694.44,35245.715
1090,601101.SH,20140108,6.56,6.61,6.4,6.44,6.54,-0.1,-1.53,53561.98,34748.226
1089,601101.SH,20140109,6.41,6.52,6.37,6.39,6.44,-0.05,-0.78,49979.29,32210.276
1088,601101.SH,20140110,6.39,6.45,6.29,6.42,6.39,0.03,0.47,51757.54,32977.344
1087,601101.SH,20140113,6.42,6.55,6.37,6.45,6.42,0.03,0.47,41997.81,27109.061
1086,601101.SH,20140114,6.46,6.52,6.36,6.51,6.45,0.06,0.93,35008.35,22571.751
1085,601101.SH,20140115,6.5,6.5,6.36,6.41,6.51,-0.1,-1.54,34255.24,21957.366
1084,601101.SH,20140116,6.42,6.57,6.36,6.48,6.41,0.07,1.09,54004.65,34956.621
1083,601101.SH,20140117,6.47,6.47,6.25,6.26,6.48,-0.22,-3.4,52403.64,33201.218
1082,601101.SH,20140120,6.19,6.33,6.18,6.26,6.26,0.0,0.0,32306.91,20159.519
1081,601101.SH,20140121,6.29,6.34,6.23,6.31,6.26,0.05,0.8,34169.69,21498.495
1080,601101.SH,20140122,6.35,6.5,6.3,6.5,6.31,0.19,3.01,58646.44,37740.17
1079,601101.SH,20140123,6.48,6.54,6.41,6.43,6.5,-0.07,-1.08,35841.06,23117.982
1078,601101.SH,20140124,6.43,6.58,6.41,6.47,6.43,0.04,0.62,51277.96,33326.84
1077,601101.SH,20140127,6.43,6.54,6.32,6.46,6.47,-0.01,-0.15,60332.54,38732.907
1076,601101.SH,20140128,6.45,6.49,6.38,6.39,6.46,-0.07,-1.08,35358.07,22737.796
1075,601101.SH,20140129,6.39,6.44,6.31,6.33,6.39,-0.06,-0.94,38002.06,24194.506
1074,601101.SH,20140130,6.32,6.38,6.27,6.28,6.33,-0.05,-0.79,28856.99,18257.437
1073,601101.SH,20140207,6.28,6.33,6.22,6.33,6.28,0.05,0.8,27718.46,17387.137
1072,601101.SH,20140210,6.33,6.5,6.31,6.49,6.33,0.16,2.53,67079.73,43230.986
1071,601101.SH,20140211,6.5,6.73,6.44,6.68,6.49,0.19,2.93,124039.64,81966.319
1070,601101.SH,20140212,6.65,6.65,6.54,6.61,6.68,-0.07,-1.05,74230.62,48914.89
1069,601101.SH,20140213,6.61,6.68,6.52,6.53,6.61,-0.08,-1.21,73267.17,48394.828
1068,601101.SH,20140214,6.51,6.63,6.48,6.59,6.53,0.06,0.92,47382.07,31024.01
1067,601101.SH,20140217,6.59,6.71,6.55,6.7,6.59,0.11,1.67,97478.33,64778.995
1066,601101.SH,20140218,6.69,6.69,6.55,6.57,6.7,-0.13,-1.94,67609.31,44652.47
1065,601101.SH,20140219,6.58,6.71,6.55,6.69,6.57,0.12,1.83,69134.0,45910.043
1064,601101.SH,20140220,6.66,6.79,6.65,6.67,6.69,-0.02,-0.3,116302.53,78235.466
1063,601101.SH,20140221,6.68,6.68,6.44,6.48,6.67,-0.19,-2.85,70692.12,46329.343
1062,601101.SH,20140224,6.44,6.44,6.19,6.19,6.48,-0.29,-4.48,81115.78,50725.41
1061,601101.SH,20140225,6.21,6.27,6.02,6.03,6.19,-0.16,-2.58,67830.56,41748.488
1060,601101.SH,20140226,6.02,6.03,5.93,6.01,6.03,-0.02,-0.33,56558.67,33839.366
1059,601101.SH,20140227,6.01,6.04,5.81,5.82,6.01,-0.19,-3.16,62728.73,37230.265
1058,601101.SH,20140228,5.81,5.92,5.76,5.91,5.82,0.09,1.55,48256.7,28189.962
1057,601101.SH,20140303,5.88,5.94,5.84,5.9,5.91,-0.01,-0.17,46275.54,27226.659
1056,601101.SH,20140304,5.89,5.89,5.7,5.75,5.9,-0.15,-2.54,63509.3,36641.036
1055,601101.SH,20140305,5.75,5.97,5.72,5.84,5.75,0.09,1.57,69571.88,40719.999
1054,601101.SH,20140306,5.8,5.88,5.73,5.83,5.84,-0.01,-0.17,50026.18,29001.823
1053,601101.SH,20140307,5.85,5.88,5.75,5.77,5.83,-0.06,-1.03,41767.04,24236.906
1052,601101.SH,20140310,5.72,5.72,5.38,5.38,5.77,-0.39,-6.76,77313.16,42900.411
1051,601101.SH,20140311,5.4,5.57,5.35,5.5,5.38,0.12,2.23,53748.59,29355.392
1050,601101.SH,20140312,5.45,5.64,5.45,5.57,5.5,0.07,1.27,60691.04,33686.256
1049,601101.SH,20140313,5.52,5.81,5.5,5.67,5.57,0.1,1.8,85416.92,48461.657
1048,601101.SH,20140314,5.63,5.63,5.53,5.57,5.67,-0.1,-1.76,39322.12,21940.095
1047,601101.SH,20140317,5.61,5.78,5.55,5.74,5.57,0.17,3.05,56226.55,31916.982
1046,601101.SH,20140318,5.74,5.77,5.67,5.69,5.74,-0.05,-0.87,35837.33,20431.627
1045,601101.SH,20140319,5.68,5.77,5.6,5.74,5.69,0.05,0.88,41538.21,23609.588
1044,601101.SH,20140320,5.73,5.73,5.55,5.56,5.74,-0.18,-3.14,37432.56,21177.303
1043,601101.SH,20140321,5.53,6.03,5.48,5.92,5.56,0.36,6.47,164432.32,95459.082
1042,601101.SH,20140324,5.88,6.06,5.83,6.0,5.92,0.08,1.35,135672.7,80726.836
1041,601101.SH,20140325,5.96,6.05,5.91,5.97,6.0,-0.03,-0.5,73598.69,43890.656
1040,601101.SH,20140326,5.96,6.02,5.85,5.88,5.97,-0.09,-1.51,51457.95,30374.213
1039,601101.SH,20140327,5.88,5.99,5.81,5.82,5.88,-0.06,-1.02,56158.34,33031.753
1038,601101.SH,20140328,5.82,5.89,5.73,5.74,5.82,-0.08,-1.37,47587.67,27660.175
1037,601101.SH,20140331,5.75,5.86,5.74,5.79,5.74,0.05,0.87,38923.9,22525.753
1036,601101.SH,20140401,5.78,5.86,5.76,5.85,5.79,0.06,1.04,33630.29,19589.291
1035,601101.SH,20140402,5.87,5.95,5.85,5.92,5.85,0.07,1.2,60562.29,35753.142
