,time,price,change,volume,amount,type
0,09:25:04,13.08,0.02,19,24852,买盘
1,09:30:04,13.17,0.09,15,19760,中性盘
2,09:30:09,13.18,0.01,4,5272,买盘
3,09:30:12,13.18,0.0,1,1318,买盘
4,09:31:01,13.1,-0.08,11,14410,卖盘
5,09:31:13,13.17,0.07,2,2634,买盘
6,09:31:25,13.1,-0.07,4,5240,卖盘
7,09:31:37,13.1,0.0,2,2620,卖盘
8,09:31:40,13.1,0.0,1,1310,卖盘
9,09:33:06,13.12,0.02,1,1312,买盘
10,09:33:13,13.12,0.0,1,1312,买盘
11,09:33:45,13.12,0.0,3,3936,买盘
12,09:33:49,13.12,0.0,2,2624,卖盘
13,09:33:52,13.12,0.0,2,2624,卖盘
14,09:33:55,13.12,0.0,2,2624,卖盘
15,09:33:58,13.12,0.0,1,1312,卖盘
16,09:34:00,13.12,0.0,8,10496,卖盘
17,09:34:09,13.11,-0.01,1,1311,卖盘
18,09:35:10,13.11,0.0,1,1311,买盘
19,09:35:57,13.1,-0.01,1,1310,买盘
20,09:36:01,13.11,0.01,20,26211,买盘
21,09:36:27,13.11,0.0,6,7866,买盘
22,09:36:55,13.11,0.0,1,1311,买盘
23,09:36:58,13.11,0.0,1,1311,买盘
24,09:37:10,13.1,-0.01,1,1310,卖盘
25,09:38:58,13.1,0.0,1,1310,买盘
26,09:39:10,13.06,-0.04,10,13060,卖盘
27,09:39:46,13.06,0.0,2,2612,买盘
28,09:40:07,13.06,0.0,1,1306,买盘
29,09:40:40,13.06,0.0,7,9142,买盘
30,09:41:07,13.1,0.04,1,1310,买盘
31,09:41:13,13.07,-0.03,1,1307,买盘
32,09:41:21,13.07,0.0,1,1307,买盘
33,09:42:15,13.1,0.03,1,1310,买盘
34,09:42:40,13.1,0.0,1,1310,买盘
35,09:43:10,13.13,0.03,10,13130,买盘
36,09:43:13,13.13,0.0,1,1313,买盘
37,09:43:15,13.13,0.0,1,1313,买盘
38,09:43:28,13.13,0.0,10,13130,买盘
39,09:43:55,13.15,0.02,2,2630,买盘
40,09:44:01,13.16,0.01,7,9212,买盘
41,09:44:16,13.16,0.0,1,1316,买盘
42,09:44:34,13.16,0.0,9,11844,买盘
43,09:45:06,13.16,0.0,1,1316,买盘
44,09:45:09,13.16,0.0,1,1316,买盘
45,09:45:19,13.16,0.0,8,10528,买盘
46,09:45:25,13.17,0.01,1,1317,买盘
47,09:45:37,13.17,0.0,1,1317,买盘
48,09:45:46,13.17,0.0,1,1317,买盘
49,09:46:10,13.16,-0.01,1,1316,买盘
50,09:46:43,13.16,0.0,1,1316,买盘
51,09:47:37,13.15,-0.01,1,1315,买盘
52,09:47:43,13.15,0.0,1,1315,买盘
53,09:47:46,13.15,0.0,1,1315,买盘
