trade_date,stock,K,D,J,KDJ_label
20191213,300639.SZ,27.68535305290136,22.33951822766825,38.37702270336757,金叉40
20191213,300641.SZ,51.74558058851488,49.96701268926565,55.30271638701335,金叉50+
20191213,300642.SZ,22.332818535730677,18.307140958891214,30.3841736894096,金叉40
20191213,300660.SZ,72.10746303948774,68.22368707477038,79.87501496892244,金叉50+
20191213,300662.SZ,31.50787124496576,31.066002277164277,32.39160918056873,金叉40
20191213,300677.SZ,57.90093281828481,44.8696441167707,83.96351022131302,金叉50+
20191213,300681.SZ,45.263876374720816,43.2208872876597,49.349854548843055,金叉50
20191213,300683.SZ,82.62854465802008,81.26124428961525,85.36314539482973,金叉50+
20191213,300691.SZ,67.7688351037208,65.59732599425824,72.11185332264594,金叉50+
20191213,300712.SZ,13.19319184387813,16.758634459375028,6.062306612884335,
20191213,300715.SZ,77.36017051924215,76.01376686527682,80.05297782717278,金叉50+
20191213,300729.SZ,41.89811837391765,41.62283208137196,42.44869095900903,金叉50
20191213,300732.SZ,67.60190876887292,62.28062983569998,78.24446663521877,金叉50+
20191213,300743.SZ,57.728120925355945,57.60618067186076,57.97200143234632,金叉50+
20191213,300747.SZ,78.74001312791357,76.70200526202582,82.81602885968906,金叉50+
20191213,300753.SZ,18.65129735429436,15.239641251232959,25.474609560417168,金叉30
20191213,300756.SZ,55.758406392604776,53.33852995180135,60.59815927421164,金叉50+
20191213,600008.SH,73.92181650866316,70.55190875692138,80.66163201214673,金叉50+
20191213,600016.SH,85.28398413484253,82.74146313642215,90.36902613168328,金叉50+
20191213,600017.SH,70.3550412057171,70.09406685179052,70.87698991357027,金叉50+
20191213,600018.SH,49.586541502508446,46.3368900338028,56.085844439919725,金叉50+
20191213,600020.SH,74.65744247453297,66.79220077187439,90.38792587985014,金叉50+
20191213,600038.SH,84.9879909136086,84.51631301622129,85.93134670838322,金叉50+
20191213,600048.SH,82.38645036319384,81.49041752447425,84.17851604063304,金叉50+
20191213,600061.SH,26.314438735912827,21.279765100200276,36.383786007337925,金叉40
20191213,600067.SH,50.531846141511515,50.02159470962682,51.5523490052809,金叉50+
20191213,600069.SH,34.23186910244201,32.89660541002596,36.90239648727412,金叉40
20191213,600073.SH,39.44435529713868,37.248252175872615,43.8365615396708,金叉50
20190425,600074.SH,12.3061924392589,14.32138625713093,8.275804803514841,
20191213,600082.SH,62.26318213745039,60.986316573495884,64.8169132653594,金叉50+
20191213,600085.SH,20.174833023844496,17.734785006955235,25.054929057623013,金叉30
20191213,600109.SH,76.60346004811731,73.80078023583657,82.2088196726788,金叉50+
20191213,600112.SH,68.38648996810116,67.42837813935981,70.30271362558386,金叉50+
20191213,600113.SH,80.56573666259037,76.94595574166046,87.80529850445018,金叉50+
20191213,600120.SH,69.71540133855235,62.75232364926294,83.6415567171312,金叉50+
20191213,600133.SH,68.55507701525666,65.184154444444,75.29692215688198,金叉50+
20191213,600149.SH,53.1695553181541,51.535809645684516,56.437046663093284,金叉50+
20191213,600153.SH,90.08295884323087,88.64465469767556,92.95956713434148,金叉50+
20191213,600156.SH,76.99026027478605,72.16699816496089,86.63678449443637,金叉50+
20191213,600165.SH,19.583461032027966,14.824457806495568,29.101467483092758,金叉30
20191213,600190.SH,73.35859773372539,66.95008112496085,86.17563095125448,金叉50+
