trade_date,stock,K,D,J,KDJ_label
20191220,000008.SZ,43.3371911931606,41.46473123991897,47.08211109964385,金叉50
20191220,000581.SZ,53.04096673802375,53.00280961328995,53.117280987491355,金叉50+
20191220,000667.SZ,57.05349555594671,55.44481214300657,60.27086238182699,金叉50+
20191220,000671.SZ,73.93299538971952,73.7799124320148,74.23916130512899,金叉50+
20191220,000713.SZ,60.1693180427377,59.21836685120528,62.07122042580254,金叉50+
20191220,000736.SZ,78.555576576565,78.28590506380982,79.09491960207538,金叉50+
20191220,000803.SZ,60.537923572886484,59.32718921652607,62.95939228560731,金叉50+
20191220,000892.SZ,66.56924354898591,66.37810401046436,66.951522626029,金叉50+
20191220,000900.SZ,84.33537182514384,82.9418484491488,87.12241857713391,金叉50+
20191220,002047.SZ,8.11210423723063,13.505721675548571,-2.6751306394052534,
20191220,002127.SZ,69.40371295187634,61.67258829037181,84.8659622748854,金叉50+
20191220,002175.SZ,69.84027977418471,68.22045826144534,73.07992279966345,金叉50+
20191220,002178.SZ,57.610340800146,55.44584066148125,61.939341077475504,金叉50+
20191220,002205.SZ,10.95930073882139,11.377122647221706,10.12365692202076,
20191220,002210.SZ,70.56146634784012,67.35892007090217,76.96655890171604,金叉50+
20191220,002239.SZ,17.287127757193044,19.306700907007258,13.247981457564613,
20191220,002254.SZ,40.359171753847754,36.791935552239785,47.493644157063684,金叉50
20191220,002320.SZ,78.38614945756161,78.16032658865645,78.83779519537197,金叉50+
20191220,002329.SZ,65.97138496585514,60.9046032976874,76.10494830219062,金叉50+
20191220,002363.SZ,34.94652328424249,27.528903422631043,49.78176300746538,金叉50
20191220,002442.SZ,52.15559439585835,49.22993561404078,58.00691195949351,金叉50+
20191220,002443.SZ,44.09176089452463,39.1709736254874,53.933335432599094,金叉50+
20191220,002445.SZ,66.64190635323166,58.475226419212675,82.97526622126964,金叉50+
20191217,002466.SZ,32.09004992081078,30.10303341085226,36.06408294072782,金叉40
20191220,002595.SZ,73.9222292601759,73.13410019149241,75.49848739754287,金叉50+
20191220,002596.SZ,88.83380646379533,85.31127765469905,95.87886408198787,金叉50+
20191220,002613.SZ,83.73700939013045,79.03649839045976,93.13803138947185,金叉50+
20191220,002638.SZ,86.81308424863755,86.38777786519559,87.66369701552148,金叉50+
20191220,002664.SZ,73.84990946723146,73.46885361024822,74.61202118119795,金叉50+
20191126,002680.SZ,84.73891901385775,83.70646614269315,86.80382475618697,金叉50+
20191220,002696.SZ,81.80045401842472,81.63081693013258,82.13972819500898,金叉50+
20191220,002711.SZ,71.00457544993587,61.964265027884096,89.0851962940394,金叉50+
20191220,002714.SZ,27.871792954656353,23.474930018938718,36.66551882609162,金叉40
20191220,002778.SZ,57.98251100260367,57.431731240740554,59.08407052632991,金叉50+
