,time,price,change,volume,amount,type
0,09:25:04,8.78,0.03,6,5268,买盘
1,09:30:04,8.71,-0.07,43,37696,卖盘
2,09:30:12,8.74,0.03,1,874,卖盘
3,09:30:37,8.81,0.07,289,253889,买盘
4,09:30:39,8.81,0.0,158,139198,卖盘
5,09:30:42,8.81,0.0,83,73123,卖盘
6,09:30:55,8.78,-0.03,78,68484,买盘
7,09:30:58,8.78,0.0,10,8780,买盘
8,09:31:00,8.85,0.07,359,316975,买盘
9,09:31:06,8.85,0.0,147,130033,买盘
10,09:31:09,8.86,0.01,379,335581,买盘
11,09:31:13,8.78,-0.08,563,499025,中性盘
12,09:31:15,8.84,0.06,15,13260,买盘
13,09:31:21,8.77,-0.07,60,52620,卖盘
14,09:31:24,8.91,0.14,584,517782,买盘
15,09:31:31,8.91,0.0,498,442580,买盘
16,09:31:37,8.82,-0.09,97,85590,中性盘
17,09:31:39,8.82,0.0,100,88200,卖盘
18,09:31:45,8.91,0.09,505,449617,买盘
19,09:31:48,8.9,-0.01,560,498400,买盘
20,09:31:51,8.89,-0.01,32,28448,中性盘
21,09:31:57,8.9,0.01,598,531953,买盘
22,09:32:04,8.88,-0.02,10,8880,买盘
23,09:32:06,8.9,0.02,780,693647,买盘
24,09:32:10,8.82,-0.08,641,569301,卖盘
25,09:32:13,8.83,0.01,1,883,中性盘
26,09:32:15,8.82,-0.01,250,220520,卖盘
27,09:32:18,8.84,0.02,1100,982975,中性盘
28,09:32:21,8.89,0.05,22,19501,买盘
29,09:32:24,9.0,0.11,427,380213,买盘
30,09:32:27,8.92,-0.08,190,169002,买盘
31,09:32:31,8.9,-0.02,163,145138,卖盘
32,09:32:33,8.93,0.03,2,1786,卖盘
33,09:32:36,8.93,0.0,5,4462,买盘
34,09:32:39,8.93,0.0,10,8930,买盘
35,09:32:42,8.91,-0.02,18,16035,中性盘
36,09:32:45,8.91,0.0,19,16916,买盘
37,09:32:48,8.9,-0.01,75,66750,卖盘
38,09:32:51,8.9,0.0,27,24030,买盘
39,09:32:54,8.83,-0.07,50,44312,卖盘
40,09:32:57,8.9,0.07,22,19582,买盘
41,09:33:00,8.99,0.09,700,627695,买盘
42,09:33:04,8.9,-0.09,7,6230,买盘
43,09:33:06,8.89,-0.01,3,2667,买盘
44,09:33:12,8.88,-0.01,30,26660,买盘
45,09:33:18,8.88,0.0,2,1776,卖盘
46,09:33:21,8.85,-0.03,88,77987,卖盘
47,09:33:27,8.85,0.0,14,12390,买盘
48,09:33:31,8.86,0.01,1,886,卖盘
49,09:33:42,8.87,0.01,102,90369,买盘
50,09:33:45,8.86,-0.01,10,8860,卖盘
51,09:33:48,8.86,0.0,80,70906,卖盘
52,09:33:51,8.86,0.0,71,62908,卖盘
53,09:33:54,8.87,0.01,18,15965,买盘
54,09:33:57,8.87,0.0,7,6208,买盘
55,09:34:00,8.87,0.0,8,7096,买盘
56,09:34:06,8.87,0.0,6,5322,卖盘
57,09:34:09,8.87,0.0,173,153534,卖盘
58,09:34:13,8.88,0.01,15,13310,中性盘
59,09:34:16,8.87,-0.01,128,113536,卖盘
60,09:34:18,8.88,0.01,44,39062,买盘
61,09:34:21,8.88,0.0,14,12432,卖盘
62,09:34:24,8.87,-0.01,34,30194,卖盘
63,09:34:28,8.87,0.0,42,37307,卖盘
64,09:34:30,8.87,0.0,22,19514,卖盘
65,09:34:33,8.87,0.0,16,14199,卖盘
66,09:34:36,8.88,0.01,20,17751,买盘
67,09:34:39,8.86,-0.02,63,55875,卖盘
68,09:34:42,8.86,0.0,31,27466,卖盘
69,09:34:45,8.85,-0.01,318,281521,卖盘
70,09:34:48,8.84,-0.01,21,18574,卖盘
71,09:34:51,8.84,0.0,13,11492,卖盘
72,09:34:54,8.84,0.0,7,6190,卖盘
73,09:34:57,8.84,0.0,19,16790,卖盘
74,09:35:00,8.84,0.0,15,13260,卖盘
75,09:35:04,8.84,0.0,29,25636,卖盘
76,09:35:06,8.85,0.01,86,76083,买盘
77,09:35:09,8.85,0.0,27,23895,卖盘
78,09:35:13,8.85,0.0,16,14160,卖盘
79,09:35:15,8.83,-0.02,81,71619,卖盘
80,09:35:18,8.83,0.0,27,23841,卖盘
81,09:35:21,8.83,0.0,32,28256,卖盘
82,09:35:24,8.83,0.0,109,96264,卖盘
83,09:35:27,8.83,0.0,8,7064,卖盘
84,09:35:31,8.83,0.0,27,23841,卖盘
85,09:35:34,8.82,-0.01,53,46785,卖盘
86,09:35:36,8.82,0.0,67,59094,卖盘
87,09:35:39,8.83,0.01,124,109609,买盘
88,09:35:42,8.83,0.0,14,12362,卖盘
89,09:35:46,8.83,0.0,26,22958,卖盘
90,09:35:48,8.83,0.0,11,9713,卖盘
91,09:35:51,8.84,0.01,29,25636,买盘
92,09:35:57,8.83,-0.01,8,7071,卖盘
93,09:36:01,8.83,0.0,1,883,卖盘
94,09:36:04,8.83,0.0,1,883,卖盘
95,09:36:06,8.83,0.0,1,883,卖盘
96,09:36:09,8.83,0.0,1,883,卖盘
97,09:36:12,8.84,0.01,6,5302,买盘
98,09:36:15,8.83,-0.01,1,883,卖盘
99,09:36:18,8.84,0.01,11,9724,买盘
100,09:36:21,8.83,-0.01,1,883,卖盘
101,09:36:31,8.84,0.01,70,61880,买盘
102,09:36:34,8.84,0.0,108,95472,卖盘
103,09:36:36,8.84,0.0,1,884,卖盘
104,09:36:45,8.84,0.0,29,25636,卖盘
105,09:36:48,8.83,-0.01,32,28609,卖盘
106,09:36:51,8.83,0.0,18,15894,卖盘
107,09:36:54,8.82,-0.01,180,158651,卖盘
108,09:36:57,8.85,0.03,285,251852,买盘
109,09:37:00,8.85,0.0,30,26373,卖盘
110,09:37:04,8.81,-0.04,29,25559,卖盘
111,09:37:09,8.82,0.01,3,2646,卖盘
112,09:37:12,8.85,0.03,9,7965,买盘
113,09:37:16,8.82,-0.03,2,1764,卖盘
114,09:37:19,8.81,-0.01,32,28212,卖盘
115,09:37:21,8.81,0.0,15,13215,卖盘
116,09:37:24,8.82,0.01,85,74887,买盘
117,09:37:27,8.81,-0.01,26,22906,卖盘
118,09:37:30,8.82,0.01,37,32615,买盘
119,09:37:33,8.83,0.01,45,39730,买盘
120,09:37:36,8.82,-0.01,5,4410,卖盘
121,09:37:39,8.82,0.0,67,59094,卖盘
122,09:37:45,8.83,0.01,14,12349,买盘
123,09:37:49,8.82,-0.01,21,18526,卖盘
124,09:37:51,8.82,0.0,9,7938,卖盘
125,09:37:54,8.82,0.0,12,10584,卖盘
126,09:37:57,8.83,0.01,96,84768,买盘
127,09:38:00,8.83,0.0,11,9713,卖盘
128,09:38:04,8.84,0.01,47,41511,买盘
129,09:38:06,8.83,-0.01,13,11479,卖盘
130,09:38:09,8.83,0.0,22,19426,卖盘
131,09:38:12,8.84,0.01,43,37989,买盘
132,09:38:16,8.84,0.0,95,83962,买盘
133,09:38:19,8.83,-0.01,8,7064,卖盘
134,09:38:21,8.83,0.0,17,15011,卖盘
