,time,price,change,volume,amount,type
0,09:25:04,2.42,-0.02,562,136004,卖盘
1,09:30:04,2.41,-0.01,496,119536,卖盘
2,09:30:09,2.41,0.0,335,80735,卖盘
3,09:30:13,2.42,0.01,4,968,买盘
4,09:30:16,2.41,-0.01,1,241,卖盘
5,09:30:27,2.41,0.0,190,45790,卖盘
6,09:30:31,2.42,0.01,1,242,买盘
7,09:30:40,2.41,-0.01,207,49887,卖盘
8,09:30:46,2.41,0.0,100,24100,卖盘
9,09:30:52,2.42,0.01,4,968,买盘
10,09:31:04,2.41,-0.01,19,4579,卖盘
11,09:31:19,2.42,0.01,4,968,买盘
12,09:31:21,2.42,0.0,39,9438,买盘
13,09:31:33,2.42,0.0,31,7502,买盘
14,09:31:45,2.42,0.0,4,968,买盘
15,09:31:58,2.42,0.0,98,23716,买盘
16,09:32:04,2.42,0.0,2,484,买盘
17,09:32:06,2.41,-0.01,3,723,卖盘
18,09:32:12,2.42,0.01,112,27104,买盘
19,09:32:16,2.42,0.0,15,3630,买盘
20,09:32:19,2.42,0.0,16,3872,买盘
21,09:32:25,2.42,0.0,1033,249986,买盘
22,09:32:34,2.42,0.0,44,10648,买盘
23,09:32:37,2.42,0.0,53,12826,买盘
24,09:32:40,2.42,0.0,20,4840,买盘
25,09:32:43,2.42,0.0,25,6050,买盘
26,09:32:45,2.42,0.0,7,1694,买盘
27,09:32:49,2.42,0.0,13,3146,买盘
28,09:32:52,2.42,0.0,8,1936,买盘
29,09:32:55,2.42,0.0,50,12100,买盘
30,09:32:58,2.42,0.0,185,44770,买盘
31,09:33:07,2.42,0.0,50,12100,买盘
32,09:33:10,2.42,0.0,30,7260,买盘
33,09:33:16,2.42,0.0,4,968,买盘
34,09:33:19,2.42,0.0,182,44044,买盘
35,09:33:21,2.42,0.0,37,8954,买盘
36,09:33:24,2.42,0.0,15,3630,买盘
37,09:33:28,2.42,0.0,115,27830,买盘
38,09:33:31,2.42,0.0,316,76441,买盘
39,09:33:34,2.42,0.0,81,19602,买盘
40,09:33:37,2.42,0.0,52,12584,买盘
41,09:33:39,2.42,0.0,50,12100,买盘
42,09:33:42,2.42,0.0,255,61710,买盘
43,09:33:46,2.42,0.0,83,20086,买盘
44,09:33:49,2.42,0.0,48,11616,买盘
45,09:33:52,2.42,0.0,202,48884,买盘
46,09:33:55,2.42,0.0,280,67760,买盘
47,09:33:57,2.42,0.0,172,41624,买盘
48,09:34:01,2.42,0.0,61,14762,买盘
49,09:34:04,2.42,0.0,225,54450,买盘
50,09:34:07,2.42,0.0,33,7986,买盘
51,09:34:10,2.42,0.0,334,80828,买盘
52,09:34:12,2.42,0.0,9,2178,买盘
53,09:34:16,2.42,0.0,54,13068,买盘
54,09:34:37,2.42,0.0,30,7260,卖盘
55,09:34:40,2.42,0.0,224,54208,卖盘
56,09:34:43,2.43,0.01,20,4860,买盘
57,09:34:46,2.43,0.0,4,972,买盘
58,09:34:52,2.42,-0.01,121,29282,卖盘
59,09:34:55,2.42,0.0,256,61952,卖盘
60,09:35:01,2.43,0.01,30,7290,买盘
61,09:35:04,2.42,-0.01,6,1452,卖盘
62,09:35:07,2.42,0.0,2,484,卖盘
63,09:35:09,2.42,0.0,9,2178,卖盘
64,09:35:12,2.43,0.01,54,13072,买盘
65,09:35:48,2.43,0.0,4,972,买盘
66,09:35:57,2.42,-0.01,49,11858,卖盘
67,09:36:12,2.42,0.0,1656,400752,卖盘
68,09:36:16,2.42,0.0,3,726,买盘
69,09:36:19,2.42,0.0,2,484,买盘
70,09:36:30,2.42,0.0,6,1452,买盘
71,09:36:46,2.42,0.0,48,11572,买盘
72,09:36:49,2.42,0.0,291,70422,买盘
73,09:36:51,2.42,0.0,186,44992,买盘
74,09:36:58,2.42,0.0,90,21780,买盘
75,09:37:01,2.42,0.0,46,11132,买盘
76,09:37:12,2.42,0.0,4,968,买盘
77,09:37:16,2.42,0.0,13,3146,买盘
78,09:37:25,2.41,-0.01,7,1687,卖盘
79,09:37:33,2.42,0.01,18,4356,买盘
80,09:37:37,2.42,0.0,40,9680,买盘
81,09:37:49,2.42,0.0,85,20570,买盘
82,09:37:55,2.42,0.0,459,111078,买盘
83,09:38:10,2.42,0.0,4,968,买盘
84,09:38:40,2.42,0.0,4,968,买盘
85,09:38:43,2.41,-0.01,245,59045,卖盘
86,09:39:10,2.41,0.0,95,22895,卖盘
87,09:39:13,2.42,0.01,4,968,买盘
88,09:39:43,2.42,0.0,4,968,买盘
89,09:40:06,2.41,-0.01,100,24100,卖盘
90,09:40:15,2.42,0.01,3,726,买盘
91,09:40:22,2.42,0.0,26,6292,买盘
92,09:40:25,2.41,-0.01,8,1928,卖盘
93,09:40:30,2.41,0.0,87,20967,卖盘
94,09:40:43,2.42,0.01,4,968,买盘
95,09:40:45,2.42,0.0,1,242,买盘
96,09:40:55,2.41,-0.01,41,9881,卖盘
97,09:41:04,2.41,0.0,50,12050,卖盘
98,09:41:10,2.42,0.01,4,968,买盘
99,09:41:31,2.41,-0.01,86,20726,卖盘
100,09:41:39,2.41,0.0,238,57358,卖盘
101,09:41:45,2.42,0.01,4,968,买盘
102,09:42:13,2.41,-0.01,3,723,卖盘
103,09:42:16,2.42,0.01,72,17424,买盘
104,09:42:22,2.42,0.0,26,6292,买盘
105,09:42:24,2.41,-0.01,4,964,卖盘
106,09:42:31,2.42,0.01,309,74778,买盘
107,09:42:40,2.42,0.0,4,968,买盘
108,09:43:01,2.41,-0.01,130,31330,卖盘
109,09:43:13,2.42,0.01,10,2420,买盘
110,09:43:16,2.42,0.0,10,2420,买盘
111,09:43:19,2.42,0.0,36,8690,买盘
112,09:43:22,2.41,-0.01,15,3622,卖盘
113,09:43:25,2.42,0.01,36,8712,买盘
114,09:43:31,2.42,0.0,7,1694,买盘
115,09:43:37,2.42,0.0,1016,244872,买盘
116,09:43:43,2.42,0.0,7,1694,买盘
117,09:43:48,2.42,0.0,13,3146,买盘
118,09:44:10,2.42,0.0,42,10164,买盘
119,09:44:16,2.42,0.0,4,968,买盘
120,09:44:19,2.41,-0.01,8,1928,卖盘
121,09:44:43,2.42,0.01,3,726,买盘
122,09:44:46,2.41,-0.01,56,13496,卖盘
123,09:44:54,2.41,0.0,5,1205,卖盘
124,09:45:10,2.42,0.01,84,20248,买盘
125,09:45:48,2.42,0.0,4,968,买盘
126,09:46:13,2.42,0.0,4,968,买盘
127,09:46:16,2.42,0.0,100,24200,买盘
128,09:46:22,2.41,-0.01,7,1687,卖盘
129,09:46:27,2.41,0.0,16,3856,卖盘
130,09:46:37,2.42,0.01,106,25652,买盘
131,09:46:49,2.42,0.0,75,18150,买盘
132,09:47:04,2.42,0.0,62,15004,买盘
133,09:47:19,2.42,0.0,4,968,买盘
134,09:47:42,2.42,0.0,20,4840,买盘
