,time,price,change,volume,amount,type
0,09:25:04,7.71,-0.1,1433,1104843,买盘
1,09:30:05,7.71,0.0,408,315146,卖盘
2,09:30:07,7.71,0.0,1030,794474,卖盘
3,09:30:10,7.75,0.04,107,82661,买盘
4,09:30:13,7.71,-0.04,10,7717,卖盘
5,09:30:16,7.73,0.02,1,773,买盘
6,09:30:22,7.74,0.01,110,85136,买盘
7,09:30:25,7.74,0.0,62,47942,买盘
8,09:30:31,7.74,0.0,50,38700,卖盘
9,09:30:34,7.75,0.01,38,29422,买盘
10,09:30:37,7.75,0.0,7,5425,买盘
11,09:30:40,7.75,0.0,8,6200,买盘
12,09:30:43,7.75,0.0,6,4650,买盘
13,09:30:46,7.74,-0.01,36,27868,卖盘
14,09:30:49,7.76,0.02,68,52750,买盘
15,09:30:55,7.74,-0.02,30,23276,卖盘
16,09:31:04,7.78,0.04,86,66870,买盘
17,09:31:07,7.78,0.0,50,38900,卖盘
18,09:31:10,7.78,0.0,1,778,卖盘
19,09:31:13,7.78,0.0,60,46680,卖盘
20,09:31:16,7.78,0.0,3,2334,卖盘
21,09:31:22,7.78,0.0,46,35788,买盘
22,09:31:28,7.77,-0.01,10,7770,卖盘
23,09:31:34,7.77,0.0,3,2331,卖盘
24,09:31:40,7.78,0.01,9,6999,买盘
25,09:31:43,7.77,-0.01,281,217404,卖盘
26,09:31:52,7.77,0.0,98,76146,买盘
27,09:32:01,7.76,-0.01,3,2328,买盘
28,09:32:07,7.75,-0.01,6,4650,卖盘
29,09:32:10,7.76,0.01,46,35672,买盘
30,09:32:13,7.76,0.0,85,65960,卖盘
31,09:32:16,7.75,-0.01,65,50388,卖盘
32,09:32:19,7.76,0.01,13,10080,买盘
33,09:32:22,7.76,0.0,54,41904,买盘
34,09:32:25,7.75,-0.01,85,65875,卖盘
35,09:32:31,7.75,0.0,16,12400,买盘
36,09:32:34,7.75,0.0,200,155000,买盘
37,09:32:37,7.74,-0.01,4,3096,卖盘
38,09:32:40,7.74,0.0,189,146286,卖盘
39,09:32:43,7.74,0.0,61,47275,买盘
40,09:32:46,7.74,0.0,47,36351,买盘
41,09:32:52,7.74,0.0,236,182664,买盘
42,09:32:55,7.75,0.01,55,42625,卖盘
43,09:32:58,7.76,0.01,74,57423,买盘
44,09:33:01,7.76,0.0,45,34920,买盘
45,09:33:05,7.75,-0.01,10,7753,卖盘
46,09:33:07,7.75,0.0,28,21746,卖盘
47,09:33:13,7.77,0.02,88,68376,买盘
48,09:33:16,7.77,0.0,1,777,卖盘
49,09:33:28,7.78,0.01,55,42790,买盘
50,09:33:31,7.78,0.0,10,7780,买盘
51,09:33:34,7.78,0.0,14,10886,买盘
52,09:33:37,7.78,0.0,15,11670,买盘
53,09:33:43,7.79,0.01,1,779,买盘
54,09:33:46,7.78,-0.01,218,169606,卖盘
55,09:33:49,7.79,0.01,38,29602,买盘
56,09:33:52,7.8,0.01,10,7800,买盘
57,09:33:55,7.79,-0.01,35,27265,卖盘
58,09:34:04,7.79,0.0,89,69331,卖盘
59,09:34:07,7.79,0.0,11,8569,买盘
60,09:34:10,7.79,0.0,20,15580,卖盘
61,09:34:13,7.8,0.01,6,4680,买盘
62,09:34:16,7.79,-0.01,21,16359,卖盘
63,09:34:25,7.79,0.0,40,31160,买盘
64,09:34:28,7.79,0.0,57,44403,买盘
65,09:34:31,7.8,0.01,10,7800,买盘
66,09:34:34,7.79,-0.01,51,39729,卖盘
67,09:34:37,7.79,0.0,29,22591,买盘
68,09:34:40,7.79,0.0,20,15580,买盘
69,09:34:43,7.79,0.0,8,6232,买盘
70,09:34:46,7.79,0.0,10,7790,买盘
71,09:34:49,7.79,0.0,46,35834,买盘
72,09:34:52,7.79,0.0,6,4674,买盘
73,09:34:55,7.79,0.0,1,779,买盘
74,09:34:58,7.79,0.0,230,178980,买盘
75,09:35:01,7.79,0.0,26,20254,买盘
76,09:35:04,7.8,0.01,20,15600,买盘
77,09:35:07,7.8,0.0,8,6240,买盘
78,09:35:10,7.79,-0.01,39,30381,卖盘
79,09:35:13,7.78,-0.01,1,778,卖盘
80,09:35:25,7.78,0.0,4,3112,卖盘
81,09:35:28,7.78,0.0,50,38900,卖盘
82,09:35:31,7.78,0.0,22,17116,卖盘
83,09:35:37,7.78,0.0,43,33454,卖盘
84,09:35:40,7.78,0.0,2,1556,买盘
85,09:35:49,7.77,-0.01,70,54390,卖盘
86,09:35:52,7.77,0.0,5,3885,买盘
87,09:35:58,7.76,-0.01,5,3880,卖盘
88,09:36:01,7.76,0.0,24,18624,卖盘
89,09:36:07,7.76,0.0,6,4656,买盘
90,09:36:10,7.75,-0.01,38,29452,卖盘
91,09:36:16,7.76,0.01,27,20952,买盘
92,09:36:19,7.75,-0.01,10,7750,卖盘
93,09:36:22,7.75,0.0,82,63550,卖盘
94,09:36:25,7.75,0.0,3,2325,买盘
95,09:36:28,7.75,0.0,20,15500,买盘
96,09:36:31,7.75,0.0,1,775,买盘
97,09:36:34,7.74,-0.01,9,6966,卖盘
98,09:36:49,7.72,-0.02,61,47202,卖盘
99,09:36:52,7.73,0.01,2,1546,买盘
100,09:36:55,7.72,-0.01,10,7720,卖盘
101,09:36:58,7.73,0.01,1,773,买盘
102,09:37:01,7.73,0.0,1,773,买盘
103,09:37:07,7.71,-0.02,45,34733,卖盘
104,09:37:10,7.72,0.01,1,772,中性盘
105,09:37:13,7.72,0.0,40,30880,买盘
106,09:37:16,7.72,0.0,1,772,买盘
107,09:37:19,7.71,-0.01,60,46270,卖盘
108,09:37:22,7.7,-0.01,15,11564,卖盘
109,09:37:31,7.7,0.0,112,86240,卖盘
