,time,price,change,volume,amount,type
0,09:25:04,43.06,0.56,70,301420,买盘
1,09:30:04,43.06,0.0,15,64590,卖盘
2,09:30:07,42.89,-0.17,16,67644,中性盘
3,09:30:10,42.56,-0.33,4,17084,卖盘
4,09:30:13,42.89,0.33,1,4289,买盘
5,09:30:16,42.56,-0.33,2,8512,卖盘
6,09:30:19,42.56,0.0,3,12768,卖盘
7,09:30:25,42.11,-0.45,14,58970,卖盘
8,09:30:28,42.11,0.0,4,16844,买盘
9,09:30:31,42.11,0.0,34,143162,买盘
10,09:30:34,42.11,0.0,14,58935,买盘
11,09:30:37,42.11,0.0,16,67388,买盘
12,09:30:40,42.07,-0.04,25,105201,卖盘
13,09:30:43,42.07,0.0,5,21027,买盘
14,09:30:46,42.07,0.0,9,37862,买盘
15,09:30:49,42.01,-0.06,22,92489,卖盘
16,09:30:52,42.01,0.0,5,21005,买盘
17,09:30:55,42.0,-0.01,7,29400,卖盘
18,09:30:58,42.0,0.0,2,8400,卖盘
19,09:31:05,42.01,0.01,3,12601,买盘
20,09:31:07,41.99,-0.02,4,16792,买盘
21,09:31:10,41.96,-0.03,1,4196,中性盘
22,09:31:16,41.8,-0.16,2,8361,卖盘
23,09:31:19,41.95,0.15,1,4195,买盘
24,09:31:22,41.95,0.0,7,29359,买盘
25,09:31:25,41.95,0.0,5,20975,买盘
26,09:31:28,41.94,-0.01,3,12568,买盘
27,09:31:31,41.94,0.0,3,12540,买盘
28,09:31:34,41.75,-0.19,5,20931,卖盘
29,09:31:37,41.95,0.2,4,16777,买盘
30,09:31:43,41.9,-0.05,7,29259,中性盘
31,09:31:49,41.77,-0.13,1,4177,中性盘
32,09:31:55,41.75,-0.02,5,20879,卖盘
33,09:31:58,41.92,0.17,3,12572,买盘
34,09:32:04,41.94,0.02,6,25161,买盘
35,09:32:07,41.94,0.0,1,4194,卖盘
36,09:32:10,41.95,0.01,2,8390,买盘
37,09:32:13,41.99,0.04,10,41975,买盘
38,09:32:16,42.03,0.04,1,4203,买盘
39,09:32:19,42.04,0.01,2,8408,中性盘
40,09:32:22,42.06,0.02,2,8412,买盘
41,09:32:46,42.04,-0.02,9,37854,卖盘
42,09:32:49,42.04,0.0,16,67264,买盘
43,09:32:52,42.04,0.0,29,121902,买盘
44,09:32:55,42.04,0.0,18,75680,买盘
45,09:33:04,42.06,0.02,2,8412,中性盘
46,09:33:10,42.1,0.04,13,54730,卖盘
47,09:33:13,42.05,-0.05,28,117819,卖盘
48,09:33:16,42.05,0.0,1,4205,买盘
49,09:33:19,42.04,-0.01,6,25227,卖盘
50,09:33:22,41.98,-0.06,5,21004,卖盘
51,09:33:25,42.05,0.07,17,71468,买盘
52,09:33:28,42.05,0.0,8,33602,买盘
