,time,price,change,volume,amount,type
0,09:25:04,5.82,0.02,283,164706,卖盘
1,09:30:04,5.87,0.05,415,242923,买盘
2,09:30:06,5.85,-0.02,233,136417,卖盘
3,09:30:10,5.86,0.01,115,67290,买盘
4,09:30:12,5.85,-0.01,3,1755,中性盘
5,09:30:15,5.85,0.0,32,18720,卖盘
6,09:30:19,5.85,0.0,16,9360,卖盘
7,09:30:21,5.85,0.0,9,5265,卖盘
8,09:30:27,5.86,0.01,100,58579,买盘
9,09:30:30,5.85,-0.01,66,38610,买盘
10,09:30:33,5.85,0.0,17,9945,买盘
11,09:30:36,5.85,0.0,25,14625,买盘
12,09:30:39,5.86,0.01,109,63802,买盘
13,09:30:42,5.85,-0.01,24,14040,卖盘
14,09:30:48,5.85,0.0,15,8775,卖盘
15,09:30:52,5.86,0.01,30,17580,买盘
16,09:30:55,5.84,-0.02,129,75449,卖盘
17,09:31:00,5.85,0.01,69,40366,买盘
18,09:31:04,5.85,0.0,3,1755,买盘
19,09:31:06,5.85,0.0,23,13455,买盘
20,09:31:09,5.84,-0.01,100,58400,卖盘
21,09:31:12,5.85,0.01,23,13455,买盘
22,09:31:18,5.84,-0.01,89,51976,卖盘
23,09:31:21,5.85,0.01,1,585,买盘
24,09:31:27,5.84,-0.01,5,2920,卖盘
25,09:31:30,5.85,0.01,45,26325,买盘
26,09:31:33,5.85,0.0,46,26910,买盘
27,09:31:39,5.85,0.0,10,5850,买盘
28,09:31:43,5.84,-0.01,17,9928,卖盘
29,09:31:46,5.85,0.01,36,21060,买盘
30,09:31:48,5.85,0.0,512,299520,买盘
31,09:31:51,5.85,0.0,90,52645,买盘
32,09:31:54,5.85,0.0,341,199485,买盘
33,09:31:57,5.84,-0.01,1,584,卖盘
34,09:32:00,5.85,0.01,157,91845,卖盘
35,09:32:04,5.86,0.01,52,30470,买盘
36,09:32:06,5.85,-0.01,56,32760,卖盘
37,09:32:09,5.85,0.0,5,2925,卖盘
38,09:32:15,5.85,0.0,46,26914,卖盘
39,09:32:18,5.86,0.01,32,18752,买盘
40,09:32:21,5.85,-0.01,12,7020,卖盘
41,09:32:24,5.86,0.01,10,5860,买盘
42,09:32:27,5.86,0.0,23,13473,买盘
43,09:32:30,5.85,-0.01,101,59085,卖盘
44,09:32:33,5.86,0.01,30,17580,买盘
45,09:32:40,5.86,0.0,25,14650,买盘
46,09:32:42,5.85,-0.01,9,5265,卖盘
47,09:32:45,5.86,0.01,62,36330,买盘
48,09:32:48,5.86,0.0,599,350514,买盘
49,09:32:51,5.86,0.0,24,14053,买盘
50,09:32:54,5.86,0.0,50,29271,买盘
51,09:32:57,5.86,0.0,54,31644,买盘
52,09:33:00,5.86,0.0,16,9376,买盘
53,09:33:04,5.86,0.0,84,49224,买盘
54,09:33:06,5.86,0.0,73,42738,买盘
55,09:33:09,5.85,-0.01,212,124041,卖盘
56,09:33:12,5.85,0.0,24,14040,买盘
57,09:33:15,5.85,0.0,57,33345,买盘
58,09:33:19,5.84,-0.01,59,34505,卖盘
59,09:33:21,5.85,0.01,151,88335,买盘
60,09:33:24,5.84,-0.01,10,5840,卖盘
61,09:33:27,5.85,0.01,135,78896,买盘
62,09:33:30,5.85,0.0,50,29250,买盘
63,09:33:33,5.85,0.0,8,4680,买盘
64,09:33:36,5.85,0.0,164,95940,买盘
65,09:33:39,5.85,0.0,5,2925,买盘
66,09:33:42,5.85,0.0,20,11700,买盘
67,09:33:49,5.85,0.0,27,15795,买盘
68,09:33:51,5.85,0.0,32,18720,卖盘
69,09:33:54,5.85,0.0,38,22250,卖盘
70,09:33:57,5.85,0.0,20,11700,卖盘
71,09:34:00,5.85,0.0,158,92430,卖盘
72,09:34:03,5.84,-0.01,75,43894,卖盘
73,09:34:06,5.85,0.01,22,12870,中性盘
74,09:34:09,5.84,-0.01,150,87757,卖盘
75,09:34:12,5.84,0.0,62,36223,卖盘
76,09:34:21,5.85,0.01,28,16380,买盘
77,09:34:25,5.85,0.0,11,6435,买盘
78,09:34:30,5.85,0.0,13,7605,买盘
79,09:34:33,5.85,0.0,6,3510,买盘
80,09:34:36,5.85,0.0,57,33299,买盘
81,09:34:39,5.84,-0.01,15,8770,卖盘
82,09:34:45,5.85,0.01,22,12870,买盘
83,09:34:48,5.85,0.0,4,2340,买盘
84,09:34:51,5.84,-0.01,33,19300,卖盘
85,09:34:54,5.85,0.01,349,204165,买盘
86,09:34:57,5.85,0.0,10,5850,买盘
