,time,price,change,volume,amount,type
0,09:30:04,5.91,0.05,20,11735,买盘
1,09:30:13,5.86,-0.05,20,11723,卖盘
2,09:30:19,5.9,0.04,66,38923,买盘
3,09:30:22,5.91,0.01,21,12400,买盘
4,09:30:28,5.92,0.01,32,18944,买盘
5,09:30:34,5.92,0.0,60,35520,买盘
6,09:30:43,5.92,0.0,38,22496,买盘
7,09:30:46,5.92,0.0,37,21904,买盘
8,09:30:58,5.91,-0.01,76,44916,卖盘
9,09:31:00,5.91,0.0,69,40797,卖盘
10,09:31:04,5.92,0.01,31,18736,买盘
11,09:31:06,5.93,0.01,68,40324,买盘
12,09:31:19,5.92,-0.01,1,592,卖盘
13,09:31:40,5.93,0.01,12,7116,中性盘
14,09:31:43,5.93,0.0,7,4175,卖盘
15,09:31:46,5.94,0.01,54,32066,买盘
16,09:31:48,5.93,-0.01,3,1779,卖盘
17,09:31:52,5.93,0.0,17,10081,卖盘
18,09:31:55,5.93,0.0,9,5337,卖盘
19,09:31:57,5.93,0.0,42,24944,卖盘
20,09:32:04,5.94,0.01,22,13068,买盘
21,09:32:10,5.94,0.0,33,19602,买盘
22,09:32:16,5.94,0.0,4,2376,卖盘
23,09:32:19,5.94,0.0,1,594,卖盘
24,09:32:31,5.94,0.0,47,27918,卖盘
25,09:32:37,5.95,0.01,3,1785,买盘
26,09:32:39,5.96,0.01,200,119008,买盘
27,09:32:42,5.94,-0.02,177,105331,卖盘
28,09:32:46,5.96,0.02,30,17870,买盘
29,09:32:48,5.96,0.0,1,596,卖盘
30,09:32:52,5.97,0.01,29,17313,买盘
31,09:32:58,5.96,-0.01,34,20264,卖盘
32,09:33:01,5.97,0.01,1,597,买盘
33,09:33:04,5.97,0.0,7,4179,买盘
34,09:33:09,6.0,0.03,228,136589,买盘
35,09:33:13,6.0,0.0,13,7770,买盘
36,09:33:19,5.98,-0.02,6,3588,卖盘
37,09:33:25,5.98,0.0,13,7774,买盘
38,09:33:34,5.98,0.0,15,8970,卖盘
39,09:33:37,5.99,0.01,23,13777,买盘
40,09:33:40,5.98,-0.01,20,11960,卖盘
41,09:33:46,5.98,0.0,32,19136,卖盘
42,09:33:49,5.98,0.0,22,13177,卖盘
43,09:33:55,5.98,0.0,1,239,卖盘
44,09:34:06,5.99,0.01,7,4193,买盘
45,09:34:09,5.99,0.0,15,8985,卖盘
46,09:34:16,5.99,0.0,85,50915,卖盘
47,09:34:19,5.99,0.0,151,90449,卖盘
48,09:34:21,5.99,0.0,1,599,卖盘
49,09:34:28,5.99,0.0,247,147953,卖盘
50,09:34:31,5.99,0.0,2,1197,买盘
51,09:34:33,5.99,0.0,21,12578,买盘
52,09:34:36,5.98,-0.01,20,11960,卖盘
53,09:34:40,5.98,0.0,1,957,卖盘
54,09:34:48,5.97,-0.01,2,1195,卖盘
55,09:34:58,5.98,0.01,10,5980,买盘
56,09:35:01,5.97,-0.01,1,597,卖盘
57,09:35:06,5.97,0.0,30,17912,卖盘
58,09:35:10,5.97,0.0,11,6567,卖盘
59,09:35:19,5.97,0.0,41,24477,卖盘
60,09:35:22,5.96,-0.01,11,6556,卖盘
61,09:35:25,5.97,0.01,18,10746,买盘
62,09:35:31,5.97,0.0,14,8367,卖盘
63,09:35:33,5.97,0.0,10,5970,卖盘
64,09:35:43,5.98,0.01,3,1794,买盘
65,09:35:49,5.97,-0.01,1,597,卖盘
66,09:35:51,5.98,0.01,2,1196,买盘
67,09:35:54,5.97,-0.01,43,25671,卖盘
68,09:35:57,5.98,0.01,1,598,买盘
69,09:36:04,5.98,0.0,43,25714,买盘
70,09:36:19,5.97,-0.01,1,597,卖盘
71,09:36:25,5.98,0.01,50,29900,买盘
72,09:36:28,5.98,0.0,2,1196,买盘
73,09:36:31,5.98,0.0,81,48433,买盘
74,09:36:33,5.98,0.0,2,1196,买盘
75,09:36:36,5.97,-0.01,21,12538,卖盘
76,09:36:39,5.98,0.01,110,65900,买盘
77,09:36:43,5.98,0.0,3,1674,卖盘
78,09:36:49,5.97,-0.01,1,597,卖盘
79,09:36:52,5.97,0.0,32,19253,卖盘
80,09:37:06,5.98,0.01,15,8970,卖盘
81,09:37:10,5.98,0.0,15,8970,卖盘
82,09:37:19,5.97,-0.01,1,597,卖盘
83,09:37:24,5.99,0.02,7,4193,买盘
84,09:37:40,5.99,0.0,13,7787,买盘
85,09:37:42,5.99,0.0,19,11381,买盘
86,09:37:49,5.99,0.0,117,70083,买盘
87,09:37:55,5.99,0.0,97,58103,卖盘
88,09:37:58,5.99,0.0,5,2995,卖盘
89,09:38:04,5.99,0.0,27,16173,卖盘
90,09:38:06,5.99,0.0,89,53311,卖盘
91,09:38:19,5.97,-0.02,1,597,卖盘
