,time,price,change,volume,amount,type
0,09:25:04,6.67,0.16,7748,5167916,买盘
1,09:30:00,6.67,0.0,57,37969,买盘
2,09:30:04,6.67,0.0,2262,1509601,买盘
3,09:30:07,6.68,0.01,444,296432,卖盘
4,09:30:10,6.67,-0.01,165,110181,卖盘
5,09:30:12,6.68,0.01,210,140140,买盘
6,09:30:15,6.68,0.0,174,116206,买盘
7,09:30:19,6.68,0.0,228,152292,买盘
8,09:30:22,6.68,0.0,267,178389,买盘
9,09:30:25,6.68,0.0,15,10020,卖盘
10,09:30:28,6.68,0.0,791,528925,卖盘
11,09:30:31,6.68,0.0,395,263897,卖盘
12,09:30:34,6.68,0.0,810,541080,买盘
13,09:30:37,6.67,-0.01,746,497843,卖盘
14,09:30:39,6.67,0.0,163,108836,卖盘
15,09:30:43,6.67,0.0,450,300231,卖盘
16,09:30:46,6.67,0.0,270,180110,卖盘
17,09:30:48,6.67,0.0,1755,1170619,卖盘
18,09:30:51,6.67,0.0,1398,932466,卖盘
19,09:30:55,6.67,0.0,729,486039,买盘
20,09:30:58,6.66,-0.01,217,144542,卖盘
21,09:31:01,6.66,0.0,1527,1017284,卖盘
22,09:31:04,6.65,-0.01,326,217054,卖盘
23,09:31:06,6.65,0.0,551,366417,卖盘
24,09:31:10,6.66,0.01,180,119768,买盘
25,09:31:13,6.64,-0.02,173,115015,卖盘
26,09:31:16,6.63,-0.01,391,259382,卖盘
27,09:31:19,6.62,-0.01,87,57786,卖盘
28,09:31:22,6.63,0.01,57,37776,中性盘
29,09:31:25,6.63,0.0,5,3315,卖盘
30,09:31:28,6.63,0.0,12,7966,卖盘
31,09:31:30,6.63,0.0,285,188841,卖盘
32,09:31:34,6.63,0.0,20,13260,卖盘
33,09:31:37,6.63,0.0,5,3312,买盘
34,09:31:40,6.63,0.0,35,23172,买盘
35,09:31:43,6.63,0.0,213,141125,买盘
36,09:31:46,6.62,-0.01,360,238351,卖盘
37,09:31:49,6.63,0.01,52,34462,买盘
38,09:31:51,6.62,-0.01,377,249574,卖盘
39,09:31:54,6.63,0.01,528,349241,买盘
40,09:31:57,6.63,0.0,439,291273,买盘
41,09:32:01,6.63,0.0,67,44202,卖盘
42,09:32:04,6.63,0.0,46,30747,买盘
43,09:32:07,6.63,0.0,328,217205,卖盘
44,09:32:09,6.63,0.0,306,202768,买盘
45,09:32:12,6.63,0.0,38,25178,买盘
46,09:32:16,6.63,0.0,57,37749,买盘
47,09:32:22,6.63,0.0,77,51036,买盘
48,09:32:25,6.63,0.0,151,100093,买盘
49,09:32:27,6.63,0.0,53,35139,买盘
50,09:32:30,6.63,0.0,468,310025,买盘
51,09:32:34,6.63,0.0,14,9282,买盘
52,09:32:37,6.63,0.0,460,304980,买盘
53,09:32:39,6.63,0.0,286,189847,买盘
54,09:32:42,6.63,0.0,10,6630,卖盘
55,09:32:46,6.63,0.0,355,235243,卖盘
56,09:32:48,6.63,0.0,19,12599,卖盘
57,09:32:52,6.63,0.0,28,18564,卖盘
58,09:32:55,6.64,0.01,81,53734,买盘
59,09:32:58,6.64,0.0,124,82249,买盘
60,09:33:00,6.64,0.0,251,166650,买盘
61,09:33:04,6.64,0.0,248,164612,买盘
62,09:33:06,6.64,0.0,185,122840,买盘
63,09:33:10,6.63,-0.01,220,146068,卖盘
64,09:33:13,6.65,0.02,191,126806,买盘
65,09:33:15,6.65,0.0,98,65080,买盘
66,09:33:18,6.65,0.0,69,45817,买盘
67,09:33:22,6.64,-0.01,11,7306,卖盘
68,09:33:25,6.65,0.01,129,85739,买盘
