,time,price,change,volume,amount,type
0,09:25:04,16.72,-0.29,96,160512,买盘
1,09:30:04,16.72,0.0,23,38450,卖盘
2,09:30:07,16.65,-0.07,30,50059,卖盘
3,09:30:16,16.71,0.06,27,45115,买盘
4,09:30:19,16.71,0.0,10,16710,买盘
5,09:30:25,16.71,0.0,20,33420,买盘
6,09:30:43,16.71,0.0,5,8355,卖盘
7,09:30:46,16.72,0.01,34,56848,买盘
8,09:30:49,16.72,0.0,41,68552,买盘
9,09:30:52,16.71,-0.01,44,73545,卖盘
10,09:30:55,16.72,0.01,2,3344,买盘
11,09:30:58,16.71,-0.01,5,8359,卖盘
12,09:31:01,16.72,0.01,22,36780,买盘
13,09:31:16,16.77,0.05,3,5031,买盘
14,09:31:19,16.78,0.01,37,62054,买盘
15,09:31:28,16.78,0.0,14,23492,卖盘
16,09:31:33,16.79,0.01,6,10072,买盘
17,09:31:40,16.78,-0.01,5,8390,卖盘
18,09:31:43,16.78,0.0,40,67120,卖盘
19,09:31:49,16.78,0.0,7,11746,卖盘
20,09:32:04,16.79,0.01,20,33565,买盘
21,09:32:19,16.75,-0.04,3,5025,卖盘
22,09:32:22,16.75,0.0,3,5025,买盘
23,09:32:31,16.78,0.03,4,6712,卖盘
24,09:32:43,16.78,0.0,5,8390,买盘
25,09:33:04,16.77,-0.01,4,6708,中性盘
26,09:33:10,16.75,-0.02,7,11725,卖盘
27,09:33:13,16.75,0.0,3,5025,买盘
28,09:33:16,16.74,-0.01,43,71997,卖盘
29,09:33:21,16.72,-0.02,17,28427,卖盘
30,09:33:33,16.74,0.02,25,41810,买盘
31,09:33:43,16.74,0.0,85,142130,买盘
32,09:33:49,16.74,0.0,61,102094,买盘
33,09:33:52,16.72,-0.02,53,88616,卖盘
34,09:34:07,16.7,-0.02,3,5010,卖盘
35,09:34:10,16.71,0.01,20,33420,买盘
36,09:34:13,16.71,0.0,15,25065,买盘
37,09:34:19,16.71,0.0,95,158715,买盘
38,09:34:22,16.71,0.0,4,6684,卖盘
39,09:34:28,16.73,0.02,1,1673,中性盘
40,09:34:46,16.74,0.01,1,1674,买盘
41,09:34:52,16.74,0.0,2,3348,买盘
42,09:34:55,16.74,0.0,5,8370,买盘
43,09:34:58,16.74,0.0,5,8370,买盘
44,09:35:01,16.74,0.0,1,1674,买盘
45,09:35:04,16.74,0.0,26,43504,买盘
46,09:35:16,16.73,-0.01,5,8365,卖盘
47,09:35:21,16.73,0.0,1,1673,卖盘
48,09:35:25,16.74,0.01,10,16740,买盘
49,09:35:43,16.73,-0.01,7,11711,卖盘
50,09:35:45,16.72,-0.01,37,61888,卖盘
51,09:35:58,16.72,0.0,10,16720,卖盘
52,09:36:06,16.72,0.0,6,10032,卖盘
53,09:36:13,16.72,0.0,3,5016,卖盘
54,09:36:19,16.72,0.0,17,28424,卖盘
55,09:36:24,16.74,0.02,12,20088,买盘
56,09:36:31,16.73,-0.01,15,25095,卖盘
57,09:36:34,16.73,0.0,43,71939,卖盘
58,09:36:52,16.72,-0.01,18,30104,卖盘
59,09:36:55,16.73,0.01,10,16730,买盘
60,09:36:57,16.73,0.0,2,3346,卖盘
61,09:37:04,16.73,0.0,3,5019,卖盘
62,09:37:07,16.74,0.01,15,25110,买盘
63,09:37:16,16.74,0.0,1,1674,卖盘
64,09:37:31,16.74,0.0,15,25110,卖盘
65,09:37:40,16.73,-0.01,8,13384,卖盘
66,09:37:43,16.73,0.0,24,40173,卖盘
67,09:37:46,16.74,0.01,20,33479,买盘
68,09:37:55,16.74,0.0,2,4687,买盘
69,09:38:01,16.75,0.01,10,15410,卖盘
70,09:38:09,16.76,0.01,10,16755,买盘
71,09:38:40,16.74,-0.02,4,6696,卖盘
72,09:38:46,16.74,0.0,10,16740,买盘
73,09:38:52,16.73,-0.01,5,8365,卖盘
74,09:38:58,16.74,0.01,1,1674,买盘
75,09:39:07,16.74,0.0,6,10044,卖盘
76,09:39:40,16.75,0.01,5,8375,买盘
77,09:39:58,16.75,0.0,20,33500,买盘
78,09:40:01,16.74,-0.01,4,6696,卖盘
79,09:40:10,16.75,0.01,8,13400,买盘
80,09:40:19,16.76,0.01,1,1676,买盘
81,09:40:25,16.76,0.0,30,51621,买盘
82,09:40:31,16.78,0.02,1,1678,买盘
83,09:40:43,16.78,0.0,11,18458,买盘
84,09:41:01,16.76,-0.02,6,10056,卖盘
85,09:41:04,16.78,0.02,1,1678,买盘
86,09:41:19,16.79,0.01,50,83950,买盘
87,09:41:25,16.79,0.0,6,10074,买盘
88,09:41:28,16.79,0.0,2,3358,卖盘
89,09:41:31,16.78,-0.01,4,6714,卖盘
90,09:41:51,16.79,0.01,10,16790,卖盘
91,09:41:55,16.79,0.0,11,18469,卖盘
92,09:42:25,16.79,0.0,13,21827,卖盘
93,09:42:31,16.8,0.01,10,16800,买盘
94,09:42:46,16.79,-0.01,11,18479,卖盘
95,09:43:01,16.8,0.01,34,57120,买盘
96,09:43:06,16.8,0.0,10,16800,买盘
97,09:43:10,16.8,0.0,4,6720,买盘
98,09:43:12,16.8,0.0,5,8400,买盘
99,09:43:16,16.8,0.0,3,5040,买盘
100,09:43:19,16.8,0.0,5,8400,买盘
101,09:43:22,16.8,0.0,6,10080,买盘
102,09:43:25,16.8,0.0,29,48700,买盘
103,09:43:31,16.8,0.0,4,6720,买盘
104,09:44:04,16.79,-0.01,1,1679,买盘
105,09:44:22,16.79,0.0,2,3358,卖盘
106,09:44:34,16.79,0.0,5,8395,买盘
107,09:44:37,16.79,0.0,3,5037,买盘
108,09:44:46,16.78,-0.01,20,33567,卖盘
109,09:45:10,16.78,0.0,15,25170,卖盘
110,09:45:13,16.77,-0.01,1,1677,买盘
111,09:45:25,16.77,0.0,11,18447,买盘
112,09:45:28,16.77,0.0,2,3354,买盘
113,09:45:40,16.77,0.0,7,11739,买盘
114,09:45:49,16.77,0.0,6,10062,买盘
115,09:46:04,16.78,0.01,3,5034,买盘
116,09:46:07,16.78,0.0,2,3356,买盘
117,09:47:16,16.8,0.02,19,31920,买盘
118,09:47:31,16.83,0.03,1,1683,买盘
119,09:47:43,16.83,0.0,4,6732,买盘
120,09:47:46,16.85,0.02,1,1685,买盘
121,09:47:52,16.8,-0.05,11,18498,卖盘
122,09:47:58,16.85,0.05,5,8425,买盘
123,09:48:16,16.8,-0.05,10,16800,卖盘
124,09:48:19,16.84,0.04,4,6736,买盘
125,09:49:04,16.81,-0.03,17,28577,卖盘
126,09:49:06,16.81,0.0,3,5043,买盘
127,09:49:28,16.84,0.03,7,11788,买盘
128,09:49:34,16.84,0.0,2,3368,卖盘
129,09:49:37,16.8,-0.04,125,210552,卖盘
130,09:49:52,16.78,-0.02,9,15118,卖盘
131,09:50:07,16.88,0.1,45,75842,买盘
