stock,5,10,15,20
002204.SZ,000156.SZ,600770.SH,300245.SZ,000812.SZ
002205.SZ,000899.SZ,000863.SZ,000863.SZ,000863.SZ
002206.SZ,600666.SH,002606.SZ,002606.SZ,002606.SZ
002207.SZ,600318.SH,600318.SH,002606.SZ,002606.SZ
002208.SZ,600401.SH,600401.SH,600401.SH,600401.SH
002209.SZ,600666.SH,600666.SH,000812.SZ,000812.SZ
002210.SZ,002739.SZ,600666.SH,600666.SH,600666.SH
002211.SZ,002211.SZ,002211.SZ,002211.SZ,002211.SZ
002212.SZ,000100.SZ,000100.SZ,000100.SZ,300201.SZ
002213.SZ,300269.SZ,300269.SZ,300269.SZ,002219.SZ
002214.SZ,002323.SZ,002323.SZ,600680.SH,600680.SH
002215.SZ,600680.SH,600680.SH,600680.SH,600680.SH
002216.SZ,600610.SH,600610.SH,600610.SH,000043.SZ
002217.SZ,002143.SZ,002143.SZ,002143.SZ,600666.SH
002218.SZ,600666.SH,600318.SH,600318.SH,002606.SZ
002219.SZ,002630.SZ,002630.SZ,002630.SZ,002739.SZ
002220.SZ,002502.SZ,000564.SZ,002259.SZ,002259.SZ
002221.SZ,002437.SZ,002520.SZ,002518.SZ,300071.SZ
002222.SZ,600499.SH,600499.SH,600499.SH,600499.SH
002223.SZ,000070.SZ,000070.SZ,002473.SZ,002473.SZ
002224.SZ,000812.SZ,600865.SH,600865.SH,002606.SZ
002225.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002226.SZ,002226.SZ,002226.SZ,002226.SZ,002226.SZ
002227.SZ,000838.SZ,000812.SZ,002175.SZ,002175.SZ
002228.SZ,600680.SH,600680.SH,600680.SH,600680.SH
002229.SZ,600318.SH,600318.SH,600318.SH,002580.SZ
002230.SZ,002460.SZ,002812.SZ,002812.SZ,002812.SZ
002231.SZ,002263.SZ,002295.SZ,002295.SZ,000812.SZ
002232.SZ,000156.SZ,000156.SZ,000156.SZ,000156.SZ
002233.SZ,002302.SZ,002302.SZ,002082.SZ,300374.SZ
002234.SZ,002299.SZ,002299.SZ,002299.SZ,002299.SZ
002235.SZ,000156.SZ,000156.SZ,000156.SZ,000812.SZ
002236.SZ,600260.SH,002271.SZ,002271.SZ,002271.SZ
002237.SZ,000157.SZ,000157.SZ,000157.SZ,000157.SZ
002238.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002239.SZ,002239.SZ,002239.SZ,002239.SZ,002239.SZ
002240.SZ,600490.SH,000488.SZ,000488.SZ,000488.SZ
002241.SZ,000812.SZ,300116.SZ,000812.SZ,002606.SZ
002242.SZ,603000.SH,603000.SH,603000.SH,603000.SH
002243.SZ,600680.SH,600680.SH,600680.SH,600680.SH
002244.SZ,000566.SZ,000566.SZ,000566.SZ,300032.SZ
002245.SZ,000566.SZ,002739.SZ,002219.SZ,002219.SZ
002246.SZ,601718.SH,300320.SZ,300492.SZ,000816.SZ
002247.SZ,002739.SZ,002499.SZ,002499.SZ,002445.SZ
002248.SZ,300487.SZ,300015.SZ,300015.SZ,601155.SH
002249.SZ,600503.SH,600503.SH,600503.SH,300278.SZ
002250.SZ,601928.SH,601928.SH,601928.SH,601928.SH
002251.SZ,300090.SZ,300090.SZ,300090.SZ,002622.SZ
002252.SZ,300411.SZ,300411.SZ,002345.SZ,300237.SZ
002253.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002254.SZ,000540.SZ,000540.SZ,000540.SZ,002739.SZ
002255.SZ,600829.SH,000564.SZ,000564.SZ,000564.SZ
002256.SZ,000564.SZ,000564.SZ,000564.SZ,000972.SZ
002258.SZ,000830.SZ,000830.SZ,000830.SZ,000830.SZ
002259.SZ,002719.SZ,000971.SZ,000971.SZ,000971.SZ
002260.SZ,002260.SZ,002260.SZ,002260.SZ,002260.SZ
002261.SZ,002671.SZ,002671.SZ,300163.SZ,300163.SZ
002262.SZ,600318.SH,600318.SH,600318.SH,600318.SH
002263.SZ,600058.SH,000523.SZ,300111.SZ,600157.SH
002264.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002265.SZ,600343.SH,600818.SH,600818.SH,002076.SZ
002266.SZ,300305.SZ,002323.SZ,002323.SZ,600680.SH
002267.SZ,600724.SH,000812.SZ,000812.SZ,000812.SZ
002268.SZ,002070.SZ,300383.SZ,300383.SZ,300383.SZ
002269.SZ,600052.SH,600052.SH,000564.SZ,000564.SZ
002270.SZ,000812.SZ,000812.SZ,300286.SZ,300286.SZ
002271.SZ,600885.SH,600167.SH,600167.SH,600167.SH
002272.SZ,002473.SZ,002473.SZ,002473.SZ,002473.SZ
002273.SZ,002562.SZ,002562.SZ,600742.SH,002622.SZ
002274.SZ,002565.SZ,002565.SZ,603000.SH,603000.SH
002275.SZ,002022.SZ,000564.SZ,000564.SZ,000564.SZ
002276.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002277.SZ,002606.SZ,002606.SZ,002606.SZ,300364.SZ
002278.SZ,002263.SZ,002263.SZ,002263.SZ,002426.SZ
002279.SZ,002143.SZ,002143.SZ,002143.SZ,002143.SZ
002280.SZ,002739.SZ,002684.SZ,002684.SZ,002684.SZ
002281.SZ,002606.SZ,002606.SZ,002606.SZ,002606.SZ
002282.SZ,002282.SZ,002282.SZ,002282.SZ,002282.SZ
002283.SZ,600969.SH,600969.SH,600628.SH,600628.SH
002284.SZ,000430.SZ,600666.SH,000609.SZ,600628.SH
002285.SZ,600499.SH,002365.SZ,002365.SZ,002365.SZ
002286.SZ,000564.SZ,000564.SZ,000564.SZ,000564.SZ
002287.SZ,300173.SZ,300173.SZ,300173.SZ,000038.SZ
002288.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002289.SZ,600318.SH,600318.SH,600318.SH,600318.SH
002290.SZ,002818.SZ,000038.SZ,000038.SZ,600401.SH
002291.SZ,002676.SZ,002676.SZ,002606.SZ,002606.SZ
002292.SZ,603117.SH,603117.SH,002790.SZ,002270.SZ
002293.SZ,002327.SZ,600867.SH,000673.SZ,300251.SZ
002294.SZ,600521.SH,300176.SZ,300176.SZ,300176.SZ
002295.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002296.SZ,300155.SZ,002487.SZ,002487.SZ,002487.SZ
002297.SZ,002297.SZ,002297.SZ,002297.SZ,002297.SZ
002298.SZ,600610.SH,600610.SH,600610.SH,000812.SZ
002299.SZ,002234.SZ,002234.SZ,002557.SZ,002557.SZ
002300.SZ,002473.SZ,002473.SZ,601968.SH,601968.SH
002301.SZ,002729.SZ,002729.SZ,002729.SZ,002729.SZ
002302.SZ,600633.SH,600633.SH,600633.SH,600633.SH
002303.SZ,000978.SZ,002471.SZ,002471.SZ,002471.SZ
002304.SZ,600779.SH,600779.SH,600779.SH,600779.SH
002305.SZ,002011.SZ,002122.SZ,002141.SZ,002219.SZ
002306.SZ,600318.SH,002076.SZ,002606.SZ,002606.SZ
002307.SZ,002342.SZ,002342.SZ,002342.SZ,600633.SH
002308.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002309.SZ,000981.SZ,000981.SZ,000981.SZ,000981.SZ
002310.SZ,002485.SZ,002485.SZ,002739.SZ,002739.SZ
002311.SZ,600519.SH,600519.SH,600872.SH,600872.SH
002312.SZ,002270.SZ,002070.SZ,002070.SZ,002070.SZ
002313.SZ,600702.SH,300274.SZ,300274.SZ,300274.SZ
002314.SZ,000564.SZ,600666.SH,600666.SH,600870.SH
002315.SZ,300303.SZ,002606.SZ,002606.SZ,002606.SZ
002316.SZ,002316.SZ,002316.SZ,002316.SZ,002316.SZ
002317.SZ,002609.SZ,600221.SH,600221.SH,300090.SZ
002318.SZ,002331.SZ,002331.SZ,600766.SH,300265.SZ
002319.SZ,600680.SH,600680.SH,600680.SH,600423.SH
002320.SZ,300176.SZ,300176.SZ,300176.SZ,300176.SZ
002321.SZ,000540.SZ,000540.SZ,002583.SZ,300225.SZ
002322.SZ,600663.SH,600135.SH,600135.SH,600135.SH
002323.SZ,002453.SZ,002453.SZ,002606.SZ,002638.SZ
002324.SZ,002122.SZ,600666.SH,600666.SH,600666.SH
002325.SZ,600666.SH,600666.SH,600666.SH,002739.SZ
002326.SZ,600157.SH,000415.SZ,002188.SZ,000400.SZ
002327.SZ,002293.SZ,000673.SZ,000673.SZ,000673.SZ
002328.SZ,002070.SZ,002070.SZ,002070.SZ,600680.SH
002329.SZ,000881.SZ,000428.SZ,000428.SZ,000428.SZ
002330.SZ,600168.SH,002552.SZ,002552.SZ,002552.SZ
002331.SZ,600053.SH,600053.SH,600680.SH,600680.SH
002332.SZ,002070.SZ,600318.SH,600318.SH,002143.SZ
002333.SZ,002739.SZ,002739.SZ,300510.SZ,002716.SZ
002334.SZ,600515.SH,002121.SZ,002622.SZ,002622.SZ
002335.SZ,002335.SZ,002335.SZ,002335.SZ,002335.SZ
002336.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002337.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002338.SZ,300063.SZ,300063.SZ,300063.SZ,300063.SZ
002339.SZ,002619.SZ,600666.SH,002619.SZ,002619.SZ
002340.SZ,600490.SH,300510.SZ,300510.SZ,600497.SH
002341.SZ,300064.SZ,300064.SZ,300064.SZ,002512.SZ
002342.SZ,000965.SZ,300320.SZ,300156.SZ,300156.SZ
002343.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002344.SZ,600396.SH,600396.SH,000812.SZ,000812.SZ
002345.SZ,002445.SZ,002739.SZ,002739.SZ,002739.SZ
002346.SZ,002344.SZ,000812.SZ,000812.SZ,000812.SZ
002347.SZ,000607.SZ,000607.SZ,000156.SZ,000812.SZ
002348.SZ,600157.SH,600157.SH,002739.SZ,002739.SZ
002349.SZ,002606.SZ,002606.SZ,300364.SZ,300364.SZ
002350.SZ,600666.SH,600666.SH,600666.SH,002606.SZ
002351.SZ,000609.SZ,000609.SZ,000609.SZ,000609.SZ
002352.SZ,600490.SH,002445.SZ,002445.SZ,002445.SZ
002353.SZ,600680.SH,600680.SH,600680.SH,002299.SZ
002354.SZ,600666.SH,600666.SH,300403.SZ,002606.SZ
002355.SZ,002070.SZ,002227.SZ,002227.SZ,002175.SZ
002356.SZ,600086.SH,600086.SH,600086.SH,002252.SZ
002357.SZ,300111.SZ,600680.SH,600838.SH,600838.SH
002358.SZ,600401.SH,600401.SH,600401.SH,600401.SH
002359.SZ,002739.SZ,000820.SZ,002739.SZ,002739.SZ
002360.SZ,002606.SZ,002606.SZ,002606.SZ,002606.SZ
002361.SZ,600666.SH,600666.SH,000812.SZ,002606.SZ
002362.SZ,300340.SZ,300340.SZ,600549.SH,600549.SH
002363.SZ,002344.SZ,000812.SZ,000812.SZ,000812.SZ
002364.SZ,600666.SH,600666.SH,002070.SZ,002070.SZ
002365.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002366.SZ,600666.SH,600666.SH,600666.SH,002619.SZ
002367.SZ,000722.SZ,000592.SZ,000592.SZ,002070.SZ
002368.SZ,000977.SZ,000977.SZ,000977.SZ,000977.SZ
002369.SZ,002180.SZ,300423.SZ,300423.SZ,300423.SZ
002370.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002371.SZ,000661.SZ,000661.SZ,603899.SH,603899.SH
002372.SZ,000729.SZ,000818.SZ,300316.SZ,300316.SZ
002373.SZ,600728.SH,002124.SZ,600776.SH,600776.SH
002374.SZ,000564.SZ,000564.SZ,000509.SZ,000509.SZ
002375.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002376.SZ,000681.SZ,000681.SZ,000681.SZ,000681.SZ
002377.SZ,002377.SZ,002377.SZ,002377.SZ,002377.SZ
002378.SZ,000970.SZ,000751.SZ,600791.SH,600791.SH
002379.SZ,002379.SZ,002379.SZ,002379.SZ,002379.SZ
002380.SZ,600561.SH,000812.SZ,000812.SZ,000812.SZ
002381.SZ,600192.SH,600369.SH,600369.SH,600369.SH
002382.SZ,300003.SZ,300003.SZ,300003.SZ,600566.SH
002383.SZ,600666.SH,600666.SH,600666.SH,002143.SZ
002384.SZ,600388.SH,600388.SH,600388.SH,600388.SH
002385.SZ,600094.SH,600094.SH,601377.SH,601377.SH
002386.SZ,300198.SZ,601600.SH,300320.SZ,300320.SZ
002387.SZ,600597.SH,000685.SZ,600459.SH,002604.SZ
002388.SZ,600605.SH,600605.SH,600605.SH,600605.SH
002389.SZ,600076.SH,002739.SZ,002739.SZ,002739.SZ
002390.SZ,002263.SZ,002437.SZ,300109.SZ,600221.SH
002391.SZ,002098.SZ,002098.SZ,300423.SZ,600891.SH
002392.SZ,300115.SZ,600959.SH,600666.SH,600666.SH
002393.SZ,002170.SZ,002170.SZ,600610.SH,600820.SH
002394.SZ,000812.SZ,000812.SZ,000812.SZ,601801.SH
002395.SZ,600680.SH,600680.SH,600680.SH,600680.SH
002396.SZ,002396.SZ,002396.SZ,002396.SZ,002396.SZ
002397.SZ,002263.SZ,000156.SZ,000812.SZ,000812.SZ
002398.SZ,000506.SZ,000506.SZ,002122.SZ,300038.SZ
002399.SZ,002007.SZ,600680.SH,600680.SH,002607.SZ
002400.SZ,002400.SZ,002400.SZ,002400.SZ,002400.SZ
002401.SZ,002070.SZ,002312.SZ,002312.SZ,000812.SZ
000627.SZ,600291.SH,300201.SZ,300201.SZ,002072.SZ
000628.SZ,600680.SH,600680.SH,600680.SH,600680.SH
000629.SZ,601288.SH,601288.SH,601288.SH,601360.SH
000630.SZ,601866.SH,601208.SH,601208.SH,601208.SH
000631.SZ,300049.SZ,300049.SZ,300049.SZ,000564.SZ
000632.SZ,002070.SZ,002070.SZ,600610.SH,600610.SH
000633.SZ,300120.SZ,000812.SZ,000812.SZ,300071.SZ
000635.SZ,600666.SH,600666.SH,002143.SZ,002143.SZ
000636.SZ,603866.SH,000681.SZ,000681.SZ,000735.SZ
000637.SZ,601999.SH,000722.SZ,000722.SZ,600610.SH
000638.SZ,002739.SZ,002739.SZ,300038.SZ,002739.SZ
000639.SZ,600221.SH,600221.SH,300032.SZ,300032.SZ
000650.SZ,600680.SH,600680.SH,600680.SH,600680.SH
000651.SZ,600519.SH,600519.SH,600460.SH,002714.SZ
000652.SZ,600765.SH,600765.SH,000777.SZ,002070.SZ
000655.SZ,000783.SZ,000783.SZ,000783.SZ,000589.SZ
000656.SZ,000739.SZ,000739.SZ,600131.SH,600131.SH
000657.SZ,002114.SZ,002114.SZ,002114.SZ,300032.SZ
000659.SZ,002070.SZ,002070.SZ,600680.SH,600680.SH
000661.SZ,603288.SH,603288.SH,603288.SH,603288.SH
000662.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000663.SZ,002622.SZ,002622.SZ,002622.SZ,002622.SZ
000665.SZ,600610.SH,600610.SH,600610.SH,600610.SH
000666.SZ,000518.SZ,002219.SZ,300336.SZ,300336.SZ
000667.SZ,002106.SZ,002106.SZ,000812.SZ,000812.SZ
000668.SZ,600680.SH,600680.SH,600680.SH,300025.SZ
000669.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000670.SZ,000670.SZ,000670.SZ,000670.SZ,000670.SZ
000671.SZ,000002.SZ,000002.SZ,601012.SH,601012.SH
000672.SZ,002189.SZ,002189.SZ,002189.SZ,002189.SZ
000673.SZ,600086.SH,600086.SH,600086.SH,002143.SZ
000676.SZ,000676.SZ,000676.SZ,000676.SZ,000676.SZ
000677.SZ,002269.SZ,002269.SZ,002269.SZ,002786.SZ
000678.SZ,600680.SH,600680.SH,600680.SH,600680.SH
000679.SZ,002344.SZ,002344.SZ,002619.SZ,002619.SZ
000680.SZ,600169.SH,000812.SZ,000812.SZ,000812.SZ
000681.SZ,603866.SH,603866.SH,603866.SH,002382.SZ
000682.SZ,000682.SZ,000682.SZ,000682.SZ,000682.SZ
000683.SZ,300108.SZ,002082.SZ,002082.SZ,002126.SZ
000685.SZ,600067.SH,600157.SH,600157.SH,600157.SH
000686.SZ,600369.SH,600369.SH,601099.SH,601928.SH
000687.SZ,002739.SZ,002143.SZ,002143.SZ,600870.SH
000688.SZ,300146.SZ,300146.SZ,300146.SZ,300146.SZ
000690.SZ,000690.SZ,000690.SZ,000690.SZ,000690.SZ
000691.SZ,002037.SZ,000812.SZ,000812.SZ,000812.SZ
000692.SZ,600959.SH,600666.SH,600666.SH,600666.SH
000693.SZ,000693.SZ,000693.SZ,000693.SZ,000693.SZ
000695.SZ,002070.SZ,002070.SZ,600680.SH,600680.SH
000697.SZ,000697.SZ,000697.SZ,000697.SZ,000697.SZ
000698.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
000700.SZ,600306.SH,600261.SH,600666.SH,300163.SZ
000701.SZ,002004.SZ,600666.SH,300278.SZ,000038.SZ
000702.SZ,002473.SZ,002473.SZ,002473.SZ,002473.SZ
000703.SZ,601233.SH,601233.SH,300176.SZ,300176.SZ
000705.SZ,000812.SZ,000812.SZ,000812.SZ,002606.SZ
000707.SZ,600193.SH,600193.SH,002188.SZ,002188.SZ
000708.SZ,600026.SH,000862.SZ,000862.SZ,000862.SZ
000709.SZ,601991.SH,600633.SH,600633.SH,600633.SH
000710.SZ,000710.SZ,000710.SZ,000710.SZ,000710.SZ
000711.SZ,000711.SZ,000711.SZ,000711.SZ,000711.SZ
000712.SZ,000099.SZ,002673.SZ,000812.SZ,002673.SZ
000713.SZ,600680.SH,600680.SH,600680.SH,600680.SH
000715.SZ,600610.SH,600610.SH,600610.SH,600680.SH
000716.SZ,000716.SZ,000716.SZ,000716.SZ,000716.SZ
000717.SZ,600569.SH,600559.SH,600490.SH,600490.SH
000718.SZ,002329.SZ,000812.SZ,002539.SZ,300163.SZ
000719.SZ,002070.SZ,000812.SZ,600193.SH,000812.SZ
000720.SZ,600680.SH,600680.SH,600680.SH,600680.SH
000721.SZ,002070.SZ,002070.SZ,000564.SZ,000564.SZ
000722.SZ,600824.SH,600824.SH,600193.SH,600193.SH
000723.SZ,000159.SZ,000159.SZ,002750.SZ,002750.SZ
000725.SZ,002081.SZ,002081.SZ,600581.SH,002451.SZ
000726.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
000727.SZ,000727.SZ,000727.SZ,000727.SZ,000727.SZ
000728.SZ,600730.SH,002473.SZ,002473.SZ,002473.SZ
000729.SZ,600146.SH,000503.SZ,000503.SZ,300188.SZ
000731.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
000732.SZ,600176.SH,600176.SH,600176.SH,600176.SH
000733.SZ,300331.SZ,300134.SZ,300134.SZ,600150.SH
000735.SZ,300146.SZ,300146.SZ,300146.SZ,300146.SZ
000736.SZ,000766.SZ,000564.SZ,000564.SZ,600084.SH
000737.SZ,600820.SH,600820.SH,600820.SH,600193.SH
000738.SZ,600391.SH,000812.SZ,000812.SZ,000812.SZ
000739.SZ,002299.SZ,002299.SZ,002299.SZ,002299.SZ
000750.SZ,000750.SZ,000750.SZ,000750.SZ,000750.SZ
000751.SZ,600067.SH,600067.SH,600067.SH,300320.SZ
000752.SZ,002005.SZ,002005.SZ,002005.SZ,002005.SZ
000753.SZ,601218.SH,000812.SZ,000812.SZ,000812.SZ
000755.SZ,600257.SH,002739.SZ,002366.SZ,002366.SZ
000756.SZ,300340.SZ,300225.SZ,002739.SZ,002739.SZ
000757.SZ,000038.SZ,002076.SZ,600680.SH,600423.SH
000758.SZ,600058.SH,600758.SH,600758.SH,600758.SH
000759.SZ,002082.SZ,002600.SZ,002600.SZ,002600.SZ
000760.SZ,600726.SH,600726.SH,600726.SH,002739.SZ
000761.SZ,300198.SZ,300198.SZ,300198.SZ,300320.SZ
000762.SZ,600084.SH,600084.SH,002625.SZ,002426.SZ
000766.SZ,002502.SZ,002070.SZ,002070.SZ,002070.SZ
000767.SZ,000564.SZ,000564.SZ,000564.SZ,000564.SZ
000768.SZ,600666.SH,600666.SH,002580.SZ,000812.SZ
000776.SZ,600657.SH,600657.SH,600777.SH,300284.SZ
000777.SZ,000899.SZ,002070.SZ,002070.SZ,002070.SZ
000778.SZ,002342.SZ,002342.SZ,002342.SZ,000820.SZ
000779.SZ,002263.SZ,002263.SZ,002312.SZ,000032.SZ
000780.SZ,002312.SZ,600497.SH,002426.SZ,002426.SZ
000782.SZ,000782.SZ,000782.SZ,000782.SZ,000782.SZ
000783.SZ,601555.SH,601555.SH,601555.SH,601928.SH
000785.SZ,600680.SH,600680.SH,600680.SH,600680.SH
000786.SZ,000418.SZ,000333.SZ,601012.SH,601012.SH
000788.SZ,002298.SZ,600610.SH,600610.SH,600610.SH
000789.SZ,603019.SH,603019.SH,603019.SH,603019.SH
000790.SZ,000564.SZ,000564.SZ,000564.SZ,000564.SZ
000791.SZ,601801.SH,600680.SH,600680.SH,600091.SH
000792.SZ,600084.SH,600084.SH,600084.SH,600084.SH
000793.SZ,002219.SZ,300411.SZ,002569.SZ,002569.SZ
000795.SZ,002604.SZ,002604.SZ,002604.SZ,002547.SZ
000796.SZ,300278.SZ,300278.SZ,300278.SZ,300278.SZ
000797.SZ,002684.SZ,002684.SZ,600666.SH,600666.SH
000798.SZ,300291.SZ,000812.SZ,000812.SZ,000812.SZ
000799.SZ,000988.SZ,000988.SZ,000988.SZ,600206.SH
000800.SZ,601377.SH,601377.SH,601377.SH,601377.SH
000801.SZ,600662.SH,002473.SZ,002473.SZ,002473.SZ
000802.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
000803.SZ,000803.SZ,000803.SZ,000803.SZ,000803.SZ
000806.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000807.SZ,000933.SZ,000933.SZ,000933.SZ,000933.SZ
000809.SZ,600200.SH,600200.SH,600200.SH,600200.SH
000810.SZ,600724.SH,600724.SH,002453.SZ,002453.SZ
000811.SZ,000900.SZ,000900.SZ,002446.SZ,002532.SZ
000812.SZ,002606.SZ,002606.SZ,002606.SZ,002606.SZ
000813.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
000815.SZ,600257.SH,002312.SZ,600749.SH,600749.SH
000816.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000818.SZ,000503.SZ,000503.SZ,000503.SZ,300423.SZ
000819.SZ,600666.SH,002606.SZ,002787.SZ,002606.SZ
000820.SZ,300156.SZ,300156.SZ,300156.SZ,300156.SZ
000821.SZ,000821.SZ,000821.SZ,000821.SZ,000821.SZ
000822.SZ,600559.SH,600559.SH,600291.SH,600291.SH
000823.SZ,002759.SZ,002759.SZ,002759.SZ,002759.SZ
000825.SZ,600019.SH,600019.SH,600019.SH,600019.SH
000826.SZ,000793.SZ,002739.SZ,002739.SZ,300032.SZ
000828.SZ,601208.SH,601208.SH,601208.SH,601208.SH
000829.SZ,000829.SZ,000829.SZ,000829.SZ,000829.SZ
000830.SZ,000418.SZ,000418.SZ,000418.SZ,002008.SZ
000831.SZ,000795.SZ,000795.SZ,002547.SZ,002547.SZ
000833.SZ,600237.SH,300163.SZ,300163.SZ,600193.SH
000835.SZ,002004.SZ,002004.SZ,002739.SZ,000971.SZ
000836.SZ,000564.SZ,000564.SZ,600257.SH,600257.SH
000837.SZ,000564.SZ,000564.SZ,000812.SZ,000812.SZ
000838.SZ,002197.SZ,002197.SZ,002197.SZ,000812.SZ
000839.SZ,600076.SH,600076.SH,002112.SZ,300032.SZ
000848.SZ,002263.SZ,300272.SZ,300272.SZ,000038.SZ
000850.SZ,001696.SZ,001696.SZ,600369.SH,600369.SH
000851.SZ,000592.SZ,000812.SZ,000812.SZ,000812.SZ
000852.SZ,600339.SH,600339.SH,600629.SH,600226.SH
000856.SZ,600008.SH,002457.SZ,300428.SZ,300428.SZ
000858.SZ,600519.SH,601799.SH,601799.SH,601799.SH
000859.SZ,002017.SZ,002323.SZ,002323.SZ,600680.SH
000860.SZ,002371.SZ,002371.SZ,002371.SZ,trade_date
000861.SZ,002786.SZ,002786.SZ,002786.SZ,002786.SZ
000862.SZ,600680.SH,600680.SH,600680.SH,600680.SH
000863.SZ,000156.SZ,000156.SZ,000156.SZ,601968.SH
000868.SZ,600084.SH,600084.SH,600084.SH,600084.SH
000869.SZ,600490.SH,600490.SH,600280.SH,600280.SH
000875.SZ,600343.SH,300154.SZ,002619.SZ,002619.SZ
000876.SZ,002157.SZ,002157.SZ,002157.SZ,002157.SZ
000877.SZ,603186.SH,603186.SH,002595.SZ,002595.SZ
000878.SZ,000630.SZ,002145.SZ,002505.SZ,002505.SZ
000880.SZ,002339.SZ,002487.SZ,002473.SZ,600318.SH
000881.SZ,002096.SZ,000428.SZ,000428.SZ,002619.SZ
000882.SZ,000564.SZ,000564.SZ,000564.SZ,000564.SZ
000883.SZ,000685.SZ,000685.SZ,300307.SZ,300307.SZ
000885.SZ,002082.SZ,002082.SZ,002082.SZ,300266.SZ
000886.SZ,600490.SH,600499.SH,600499.SH,002285.SZ
000887.SZ,000887.SZ,000887.SZ,000887.SZ,000887.SZ
000888.SZ,603818.SH,002739.SZ,002739.SZ,002739.SZ
000889.SZ,000540.SZ,600401.SH,600401.SH,600401.SH
000890.SZ,601999.SH,600573.SH,600680.SH,600680.SH
000892.SZ,000038.SZ,600666.SH,600666.SH,000038.SZ
000893.SZ,000958.SZ,000728.SZ,002473.SZ,002473.SZ
000895.SZ,000418.SZ,000418.SZ,000786.SZ,601012.SH
000897.SZ,002103.SZ,002103.SZ,002143.SZ,002143.SZ
000898.SZ,002110.SZ,002470.SZ,000981.SZ,000981.SZ
000899.SZ,601968.SH,601968.SH,601968.SH,601968.SH
000900.SZ,002291.SZ,002291.SZ,002291.SZ,002070.SZ
000901.SZ,600969.SH,000812.SZ,000812.SZ,000812.SZ
000902.SZ,600556.SH,603222.SH,603222.SH,601166.SH
000903.SZ,000903.SZ,000903.SZ,000903.SZ,000903.SZ
000905.SZ,600110.SH,600110.SH,600110.SH,002074.SZ
000906.SZ,600513.SH,600318.SH,600318.SH,002207.SZ
000908.SZ,000005.SZ,002344.SZ,000428.SZ,002619.SZ
000909.SZ,002276.SZ,000812.SZ,000812.SZ,000812.SZ
000910.SZ,002086.SZ,300225.SZ,000826.SZ,002739.SZ
000911.SZ,002539.SZ,000812.SZ,000812.SZ,002473.SZ
000912.SZ,000912.SZ,000912.SZ,000912.SZ,000912.SZ
000913.SZ,002219.SZ,002739.SZ,002622.SZ,002622.SZ
000915.SZ,000099.SZ,600719.SH,002103.SZ,002103.SZ
000917.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
000918.SZ,002070.SZ,002070.SZ,600680.SH,600680.SH
000919.SZ,600343.SH,600343.SH,601999.SH,601999.SH
000920.SZ,601218.SH,600610.SH,600610.SH,000156.SZ
000921.SZ,000100.SZ,000100.SZ,601377.SH,601377.SH
002401.SZ,002070.SZ,002312.SZ,002312.SZ,000812.SZ
002402.SZ,300328.SZ,300328.SZ,300328.SZ,300328.SZ
002403.SZ,002004.SZ,002004.SZ,002739.SZ,002739.SZ
002404.SZ,002070.SZ,002070.SZ,002070.SZ,000719.SZ
002405.SZ,002773.SZ,002192.SZ,002192.SZ,600567.SH
002406.SZ,600982.SH,000812.SZ,000812.SZ,000812.SZ
002407.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002408.SZ,002408.SZ,002408.SZ,002408.SZ,002408.SZ
002409.SZ,002362.SZ,002273.SZ,002273.SZ,300225.SZ
002410.SZ,603939.SH,600009.SH,600009.SH,600009.SH
002411.SZ,002252.SZ,002252.SZ,002252.SZ,002252.SZ
002412.SZ,600277.SH,600277.SH,600277.SH,002470.SZ
002413.SZ,000415.SZ,000415.SZ,000415.SZ,000971.SZ
002414.SZ,600680.SH,600680.SH,600680.SH,600680.SH
002415.SZ,600196.SH,300176.SZ,000537.SZ,300274.SZ
002416.SZ,000812.SZ,000812.SZ,000971.SZ,000971.SZ
